P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,delta,load,T_HTF_in_K,T_amb_input_K,eta_gross,eta_Q
54226106.12,1180.74,24146449.71,2.74,840.16,66.04,0.61,1095.08,268.16,0.533450953269965,0.9975654764311128
54226106.12,1180.74,24146449.71,2.74,840.16,66.04,0.65,1098.28,295.98,0.5274467569265799,0.9980594242280947
54226106.12,1180.74,24146449.71,2.74,840.16,66.04,0.84,1106.55,271.64,0.5375865003270232,0.9994442054513977
133708715.18,1219.32,24783795.3,2.97,836.04,53.85,0.8,1157.15,303.52,0.5480218348899683,1.018363870057831
133708715.18,1219.32,24783795.3,2.97,836.04,53.85,0.68,1163.66,281.19,0.5558524664170938,1.0164736329654815
133708715.18,1219.32,24783795.3,2.97,836.04,53.85,1.0,1152.17,309.34,0.5515499454569747,1.0246362458367917
133708715.18,1219.32,24783795.3,2.97,836.04,53.85,0.77,1148.17,316.67,0.5439941412025827,1.0128242464992465
133708715.18,1219.32,24783795.3,2.97,836.04,53.85,0.6,1146.75,290.6,0.5462581995182672,1.0050423592747237
133708715.18,1219.32,24783795.3,2.97,836.04,53.85,0.97,1158.99,295.36,0.5571582322388005,1.0290808807884977
133708715.18,1219.32,24783795.3,2.97,836.04,53.85,0.54,1153.46,269.63,0.5477441701632515,1.005644559767262
133708715.18,1219.32,24783795.3,2.97,836.04,53.85,0.9,1162.11,270.86,0.5619617540922317,1.0275839795833126
123631609.24,1202.62,24865565.39,2.93,811.28,80.42,0.61,1110.83,263.53,0.5302260782164575,0.999063404413452
123631609.24,1202.62,24865565.39,2.93,811.28,80.42,1.03,1114.7,273.82,0.5352893669677683,1.0008101543190693
123631609.24,1202.62,24865565.39,2.93,811.28,80.42,0.78,1106.59,311.99,0.5211717259579471,0.9990685519740722
123631609.24,1202.62,24865565.39,2.93,811.28,80.42,0.86,1115.88,276.96,0.5336718246631774,1.0003345643716193
123631609.24,1202.62,24865565.39,2.93,811.28,80.42,0.69,1121.24,286.31,0.5334361076873283,1.0003288990664354
123631609.24,1202.62,24865565.39,2.93,811.28,80.42,0.97,1107.44,307.67,0.5234408312952438,0.9999421967080299
123631609.24,1202.62,24865565.39,2.93,811.28,80.42,0.54,1102.22,304.19,0.5183566268977952,0.9977968690071028
123631609.24,1202.62,24865565.39,2.93,811.28,80.42,0.76,1118.57,297.18,0.5244195212973094,1.0002692259433719
116485000.6,1224.81,24158011.95,2.79,845.05,94.75,0.83,1121.22,272.08,0.541917607143854,1.0004035986621276
116485000.6,1224.81,24158011.95,2.79,845.05,94.75,0.95,1114.58,279.8,0.5417046825837617,1.0003560594306504
116485000.6,1224.81,24158011.95,2.79,845.05,94.75,0.99,1116.22,310.07,0.5335948785879682,1.0006499344232274
116485000.6,1224.81,24158011.95,2.79,845.05,94.75,0.64,1129.32,313.39,0.5327008372870735,1.0003943196910676
116485000.6,1224.81,24158011.95,2.79,845.05,94.75,0.58,1123.37,263.61,0.5396649246072147,0.9997737490765932
116485000.6,1224.81,24158011.95,2.79,845.05,94.75,0.88,1126.24,292.72,0.5417950467204599,1.0013844034396373
116485000.6,1224.81,24158011.95,2.79,845.05,94.75,0.54,1119.19,288.48,0.537677285770433,0.9992773053470362
116485000.6,1224.81,24158011.95,2.79,845.05,94.75,0.76,1111.22,298.71,0.5289454613984494,0.9992648817785701
74586598.81,1090.48,24988444.88,2.98,803.23,73.78,0.74,1016.22,307.07,0.3032496509272858,0.8655748590958179
74586598.81,1090.48,24988444.88,2.98,803.23,73.78,0.97,1008.93,289.21,0.46828942217427844,0.9716011998274465
74586598.81,1090.48,24988444.88,2.98,803.23,73.78,0.91,1000.83,302.65,0.32774114594965215,0.8861988934064112
74586598.81,1090.48,24988444.88,2.98,803.23,73.78,0.54,1012.3,273.12,0.1353100306853898,0.7329073805466835
