-60.28,-74.8,-77.04,-76.04,-60.59,-71.02,-60.3,-78.25,-78.57,-69.47,-56.95,-76.02,-76.22,-73.16,-68.56,-72.85,-77.54,-78.5,-71.05,-85.07,-86.95,-77.88,-83.09,-72.08
-70.72,-71.98,-84.56,-74.01,-69.51,-75.25,-62,-73.18,-62.82,-60.02,-86.06,-76.44,-68.2,-81.45,-74.18,-74.24,-86.18,-81.39,-73.08,-57.75,-77.14,-78.64,-74.84,-69.67
-71.23,-66.97,-69.78,-64.68,-61.56,-74.86,-71.44,-73.74,-62.9,-60.77,-72.46,-74.51,-72.1,-77.39,-75.87,-75.13,-70.57,-67.99,-69.52,-65.51,-70.56,-69.96,-71.87,-78.5
-71.61,-72.48,-73.4,-70.28,-61.69,-77,-67,-71.48,-66.94,-56.59,-77.55,-70.84,-71.02,-68.71,-73.52,-73.76,-76.84,-80,-75,-81.28,-82,-77.25,-76.36,-71.85
-55.33,-69.1,-74.57,-66.84,-69.41,-74,-68.17,-63,-67.56,-59.75,-75.56,-73.86,-79.89,-79.42,-74.27,-72.3,-74,-81,-74.08,-69.98,-79,-75.63,-80.1,-73.92
-67.78,-68.63,-68.86,-72.17,-63.69,-76.74,-64.37,-70.48,-70.25,-68.42,-70.4,-75.53,-81.98,-77.74,-73.06,-70.04,-82.78,-74.74,-64.12,-75.89,-78.48,-88.14,-86.96,-81.81
-63.47,-69.83,-74.76,-78.27,-70.14,-76.95,-76.11,-59.09,-73.15,-69.66,-70.6,-77,-77.62,-78.95,-81.82,-84.44,-86.9,-75.52,-64.92,-78.71,-82.01,-76.25,-78.81,-70.95
-71.32,-71.08,-74,-64.16,-70.8,-78,-73.51,-75.06,-71.34,-68.97,-79.27,-75.32,-65.81,-76.18,-73,-76.48,-83,-74.07,-71.03,-72.97,-73.42,-69.46,-70.97,-69.6
-72.12,-74.23,-72,-70.12,-69.21,-75.58,-72.4,-72.94,-63.67,-57.88,-75.79,-77.44,-68.44,-73.44,-69.17,-70.71,-83,-75.41,-59.96,-70.99,-75,-79.9,-78.4,-71
-66.7,-74.2,-69.95,-72,-60.72,-72,-63.04,-68.89,-68.48,-53.07,-75.59,-78.1,-73.39,-73.61,-76.89,-69.28,-76.13,-76.36,-71.13,-71.71,-72.68,-73.86,-77,-77.1
-68.99,-65.35,-69.82,-71.6,-54.31,-72.57,-80.34,-62.48,-67.2,-72.92,-70,-73.04,-76.56,-75.46,-71.56,-75.56,-86,-81.28,-57.08,-72.14,-85.31,-74.81,-71.96,-76.04
