Name,Rating,NumberOfUser,PopularitasXKepuasan,Address,lat,lon
STARBUCKS CIPUTAT RAYA,4.8,103,494.4,"Cipayung, South Tangerang City",-6.3168578,106.7468092
Ootoya - PIM 2,4.4,111,488.40000000000003,"Pondok Indah Mall 2 Blok T 380, Jl. Metro Pondok Indah RT.1/RW.16, Pondok Pinang, Kebayoran Lama, RT.1/RW.16, Pd. Pinang, Kota Jakarta Selatan",-6.2650846,106.78253390000002
Starbucks Coffee - Patra Jasa Office Tower,4.6,101,464.59999999999997,"Patra Jasa Office Tower, Gedung, Jl. Gatot Subroto No.Kav. 32-34, RT.6/RW.3, Kuningan, East Kuningan, South Jakarta City",-6.2332945,106.8231335
Starbucks,4.4,102,448.8,"Wisma 46, Lt.Ground Floor, Jl. Jend. Sudirman No.Kav 1, RT.10/RW.11, Karet Tengsin, Kota Jakarta Pusat",-6.203627,106.820355
Starbucks MRT Cipete,4.4,90,396.00000000000006,"MRT Cipete, Jl. Cipete Raya No.3, RT.3/RW.4, South Cipete, South Jakarta City",-6.2785180999999985,106.7971855
Starbucks,4.4,88,387.20000000000005,"RT.3/RW.3, Kuningan, Setia Budi, South Jakarta City",-6.2040773,106.8237594
Starbucks Tokopedia Tower,4.6,84,386.4,"RT.3/RW.3 Karet Semanggi, Setiabudi, Jl. Prof. DR. Satrio No.Kav 11, RT.3/RW.3, Karet Semanggi, South Jakarta City",-6.2214483,106.81942520000001
Starbucks Reserve Menara Astra,4.6,71,326.59999999999997,"Menara Astra, No.Kav 5, Jl. Jend. Sudirman No.10, RT.10/RW.11, Karet Tengsin, Kota Jakarta Pusat",-6.207202099999999,106.8214604
Starbucks Coffee - Menara Kadin,4.5,69,310.5,"Jl. H. R. Rasuna Said Blok X No.1 Kuningan Tim. Kota SelatanSetia Budi, RT.1/RW.2, Kuningan, Kuningan Tim., Kota Jakarta Selatan",-6.232409400000001,106.8318101
Starbucks Mayapada II,4.4,68,299.20000000000005,"No.Kav 27,, Jl. Jend. Sudirman, RT.4/RW.2, Kuningan, Karet, Kota Jakarta Selatan",-6.2132830000000006,106.8201646
Starbucks One Belpark,4.5,64,288.0,"one belpark mall ground floor, Jalan RS Fatmawati No.1, RT.1 RW.7, RT.1/RW.7, Pd. Labu, Cilandak, RT.1/RW.1, Pondok Labu, South Jakarta City",-6.304364700000001,106.7954755
Starbucks Coffee Ratu Plaza,4.4,61,268.40000000000003,"Jl. Jend. Sudirman No.RT.1, RT.1/RW.3, Gelora, Kota Jakarta Pusat",-6.226947,106.80123490000001
Starbucks Menara Standard Chartered,4.4,52,228.8,"Menara Standard Chartered, Jl. Prof. DR. Satrio No.164, RT.4/RW.4, Karet Semanggi, Kota Jakarta Selatan",-6.2181697,106.81846589999999
Starbucks - Blok M Plaza,4.5,47,211.5,"Jl. Bulungan No.67, RT.6/RW.6, Kramat Pela, Kota Jakarta Selatan",-6.2448084999999995,106.7978278
Starbucks World Trade Center 2,4.5,45,202.5,"Gedung World Trade Center II, Lower Ground, Jl. Jenderal Sudirman Kav. 29-31, RT.8/RW.3, Kuningan, Karet, Kota Jakarta Selatan",-6.215653400000001,106.8215567
STARBUCKS BINUS ANGGREK,4.6,42,193.2,"RT.2/RW.9, Kebon Jeruk, West Jakarta City",-6.202035400000001,106.7810301
Starbucks TCC Batavia,4.3,35,150.5,"Jl. K.H. Mas Mansyur No.126, Karet Tengsin, Kota Jakarta Pusat",-6.2109498,106.8165258
Starbucks,4.2,35,147.0,"Ratu Prabu 2, Jalan T.b. Simatupang Kav. 1B, Cilandak Timur, RT.3/RW.3, Cilandak Tim., Kota Jakarta Selatan",-6.2916745,106.80860390000001
Starbucks,4.7,28,131.6,"Allianz Tower, Jl. H. R. Rasuna Said No.2, RT.1/RW.6, Guntur, Kota Jakarta Selatan",-6.2098999,106.83119620000001
Starbucks Sahid Sudirman Center,4.4,29,127.60000000000001,"Unnamed Road, RT.10/RW.11, Karet Tengsin, Kota Jakarta Pusat",-6.2105295,106.81877050000001
Starbucks,4.3,28,120.39999999999999,"Pondok Indah Mall 2 Lg-sogo Foodhal, Jl. Sultan Iskandar Muda RT.1/RW.3 Area 51, 1st floor JL, South City, Gelora, Kota Jakarta Pusat",-6.264855000000001,106.784176
Starbucks Coffe Talavera Office,4.8,22,105.6,"South Jakarta 1 1, RT.1/RW.1, Cilandak Bar., Kota Jakarta Selatan",-6.2913339000000015,106.8037672
Starbucks L' Avenue,4.5,20,90.0,"L’Avenue Residences, Jl. Raya Pasar Minggu No.Kav. 16, RT.7/RW.9, Pancoran, South Jakarta City",-6.248662299999999,106.843531
Starbucks,4.3,19,81.7,"Townsquare Cilandak, Jl. TB Simatupang No.Kav. 17, RT.6/RW.9, West Cilandak, South Jakarta City",-6.291346599999999,106.79971370000001
Starbucks,4.7,12,56.400000000000006,"RDTX Tower Jl. Prof Dr. Satrio Kav. E IV No.6, RT.5/RW.2, Kuningan, East Kuningan, South Jakarta City",-6.2246259,106.8254288
Starbucks Menara FIF,3.7,12,44.400000000000006,"Jl. Tol Tahi Bonar Simatupang No.Kav. 15, RT.4/RW.1, Lb. Bulus, Kota Jakarta Selatan",-6.2924992999999985,106.78359499999999
starbucks wisma pondok indah,4.4,8,35.2,"Wisma BCA Pd. Indah, Jl. Metro Pondok Indah No.10, RT.1/RW.17, Pd. Pinang, Kota Jakarta Selatan",-6.286863599999998,106.77896609999999
Food Court Manhattan,4.4,8,35.2,"RT.3/RW.3, East Cilandak, South Jakarta City",-6.2902572,106.81121270000001
Starbucks Coffee - Margo City,4.8,6,28.799999999999997,"Margo City, Kemiri Muka, Depok City",-6.3728145,106.8345587
Starbucks D'prima Melawai,5.0,5,25.0,"2, Jl. Melawai X No.8, RT.3/RW.6, Melawai, Kota Jakarta Selatan",-6.2453651,106.79893670000001
Starbucks BEJ,4.4,5,22.0,"Foundry No. 8, Jl. Jend. Sudirman, RT.5/RW.3, Senayan, South Jakarta City",-6.2235116999999995,106.80847649999998
Starbucks Intiland Tower,4.8,4,19.2,"Jl. Jend. Sudirman No.32, RT.3/RW.2, Karet Tengsin, Kota Jakarta Pusat",-6.2142905,106.81745120000001
Starbucks Coffee,3.8,5,19.0,"Pondok Indah Mal 3 - Area 51 Lantai 1 JL, Jalan Metro Pondok Indah No.1, Kebayoran Lama, RT.1/RW.16, Pondok Pinang, RT.1/RW.16, Pd. Pinang, Kota Jakarta Selatan",-6.2649273,106.78416909999999
Starbucks Reserve,5.0,2,10.0,"Jalan Metro Pondok Indah KAV. IV, RT.1/RW.16, TA, South Jakarta City",-6.2646913999999985,106.7827356
Starbucks Rumah Sakit Pusat Pertamina,3.5,2,7.0,"Jl. Kyai Maja, RT.6/RW.2, Kramat Pela, Kota Jakarta Selatan",-6.2394808,106.78599009999998
