Name,Rating,NumberOfUser,Address,lat,lon
Starbucks Menara Jamsostek,4.5,141,"Menara Jamsostek Jl. Gatot Subroto No.38, RT.6/RW.1, Kuningan Bar., Kota Jakarta Selatan",-6.233393299999999,106.821385
Starbucks Reserve - Pakubuwono,4.7,2430,"Jl. Pakubuwono VI No.10, Gunung, Kota Jakarta Selatan",-6.232856,106.7959564
Starbucks Tebet,4.5,1759,"Jl. Letjen M.T. Haryono No.9, RT.11/RW.5, Tebet Bar., Kota Jakarta Selatan",-6.2428687,106.8482325
Starbucks Coffee,4.5,612,"Menara Bidakara, Jl. Jend. Gatot Subroto Kav 71-73, RT.8/RW.8, Menteng Dalam, Tebet, RT.8/RW.8, Menteng Dalam, Kota Jakarta Selatan",-6.241325,106.8416712
Starbucks L' Avenue,4.5,20,"L’Avenue Residences, Jl. Raya Pasar Minggu No.Kav. 16, RT.7/RW.9, Pancoran, South Jakarta City",-6.248662299999999,106.843531
Starbucks Wijaya,0.0,0,"Jl. Wijaya I, RT.7/RW.4, Petogogan, Kota Jakarta Selatan",-6.240021899999999,106.814616
Starbucks Melawai,4.5,619,"Raya, Jl. Melawai Raya No.189B, RT.3/RW.1, Melawai, South Jakarta City",-6.2446559,106.8031168
Starbucks,4.4,462,"Jl. Melawai 9 No.2, RT.3/RW.1, Melawai, Kota Jakarta Selatan",-6.2453564,106.7989574
Starbucks La Maison,4.6,194,"RT.4/RW.4, Kramat Pela, South Jakarta City",-6.2460893,106.7940449
Starbucks - Blok M Plaza,4.5,47,"Jl. Bulungan No.67, RT.6/RW.6, Kramat Pela, Kota Jakarta Selatan",-6.2448085,106.7978278
Starbucks,0.0,0,"RT.6/RW.6, Kramat Pela, South Jakarta City",-6.244921499999999,106.7978483
Starbucks D'prima Melawai,5.0,5,"2, Jl. Melawai X No.8, RT.3/RW.6, Melawai, Kota Jakarta Selatan",-6.2453651,106.7989367
Starbucks Coffee,4.4,120,"RT.1/RW.10, Kramat Pela, South Jakarta City",-6.245689,106.7884753
Starbucks Coffee - Gandaria City Mall,4.6,1377,"Gandaria City Mall Lt. G, Jl. Kyai Haji Moh Syafi Hadzami No. 8, Kebayoran Lama Utara, Kebayoran Lama, RT.10/RW.6, Kby. Lama Utara, Kota Jakarta Selatan",-6.243725599999999,106.7839798
Starbucks Rumah Sakit Pusat Pertamina,3.5,2,"Jl. Kyai Maja, RT.6/RW.2, Kramat Pela, Kota Jakarta Selatan",-6.2394808,106.7859901
Starbucks,4.5,859,"Jl. Raya Kalibata, RT.9/RW.4, Rawajati, Kota Jakarta Selatan",-6.2566394,106.8520902
Starbucks,4.5,1723,"Jl. Kemang I No.1, RT.10/RW.5, Bangka, Kota Jakarta Selatan",-6.2578368,106.8149185
Starbucks,4.7,762,"Ruko, 5, Jl. Sultan Iskandar Muda No.3, Kby. Lama Sel., Kota Jakarta Selatan",-6.254625,106.7818801
Starbucks Colony Kemang,0.0,0,"Jl. Kemang Raya No.6, RW.1, Bangka, Kota Jakarta Selatan",-6.25992,106.8155794
Starbucks,4.3,28,"Pondok Indah Mall 2 Lg-sogo Foodhal, Jl. Sultan Iskandar Muda RT.1/RW.3 Area 51, 1st floor JL, South City, Gelora, Kota Jakarta Pusat",-6.264855,106.784176
Starbucks,4.4,255,"Street Gallery Pondok Indah Mall, Jl. Metro Pondok Indah No.RT.1, RT.1/RW.16, Pd. Pinang, Kota Jakarta Selatan",-6.266717499999999,106.7840301
Starbucks,4.6,500,"Blok B5 Ground Floor, Jl. Metro Pondok Indah, RT.1/RW.16, Pondok Pinang, South Jakarta City",-6.2648634,106.7842244
Starbucks - Pondok Indah Office Tower,4.4,200,"Pd. Indah Office Tower 3, Jl. Sultan Iskandar Muda, RT.4/RW.3, Pondok Pinang, South Jakarta City",-6.262994300000001,106.7818189
Ootoya - PIM 2,4.4,111,"Pondok Indah Mall 2 Blok T 380, Jl. Metro Pondok Indah RT.1/RW.16, Pondok Pinang, Kebayoran Lama, RT.1/RW.16, Pd. Pinang, Kota Jakarta Selatan",-6.2650846,106.7825339
Starbucks Coffee,3.8,5,"Pondok Indah Mal 3 - Area 51 Lantai 1 JL, Jalan Metro Pondok Indah No.1, Kebayoran Lama, RT.1/RW.16, Pondok Pinang, RT.1/RW.16, Pd. Pinang, Kota Jakarta Selatan",-6.2649273,106.7841691
Starbucks Reserve,5.0,2,"Jalan Metro Pondok Indah KAV. IV, RT.1/RW.16, TA, South Jakarta City",-6.264691399999999,106.7827356
Starbucks Coffee Veteran,4.7,287,"Jl. RC. Veteran Raya Blok Anggrek No.8, RW.3, Bintaro, Kota Jakarta Selatan",-6.2653939,106.7663528
Starbucks Colony Kemang,5.0,1,"Jl. Kemang Raya No.90-B, RW.2, Bangka, Kota Jakarta Selatan",-6.270346099999999,106.8152247
