P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,
60000000.0,1073.15,25000000.0,2.7,15.0,250.0,1.0,1073.15,312.15,0.469077346581129,1.0000836246869989,
60000000.0,1073.15,25000000.0,2.84444444444,15.0,250.0,1.0,1073.15,312.15,0.45970412367476693,1.0000372770007016,
60000000.0,1073.15,25000000.0,2.98888888889,15.0,250.0,1.0,1073.15,312.15,0.44515750786930086,0.9999737010655282,
60000000.0,1073.15,25000000.0,3.13333333333,15.0,250.0,1.0,1073.15,312.15,0.4324396380751808,0.9999451737940516,
60000000.0,1073.15,25000000.0,3.27777777778,15.0,250.0,1.0,1073.15,312.15,0.4215738727492793,0.9999334463945353,
60000000.0,1073.15,25000000.0,3.42222222222,15.0,250.0,1.0,1073.15,312.15,0.41187466533523187,0.9999094101487458,
60000000.0,1073.15,25000000.0,3.56666666667,15.0,250.0,1.0,1073.15,312.15,0.4031431414358138,0.9999079476239783,
60000000.0,1073.15,25000000.0,3.71111111111,15.0,250.0,1.0,1073.15,312.15,0.3944047228381629,0.9998890983612755,
60000000.0,1073.15,25000000.0,3.85555555556,15.0,250.0,1.0,1073.15,312.15,0.38754309860154873,0.9998678646441176,
60000000.0,1073.15,25000000.0,4.0,15.0,250.0,1.0,1073.15,312.15,0.3805754625035101,0.9998800293552091,
60000000.0,1073.15,25000000.0,2.76,15.0,250.0,1.0,1073.15,312.15,0.46682906166133636,1.000061163247189,
60000000.0,1073.15,25000000.0,2.76,16.6666666667,250.0,1.0,1073.15,312.15,0.46600646181509553,1.000061880209587,
60000000.0,1073.15,25000000.0,2.76,18.3333333333,250.0,1.0,1073.15,312.15,0.4651809664058189,1.0000618847487497,
60000000.0,1073.15,25000000.0,2.76,20.0,250.0,1.0,1073.15,312.15,0.4643542720803432,1.000063000184684,
60000000.0,1073.15,25000000.0,2.76,21.6666666667,250.0,1.0,1073.15,312.15,0.46352518698617595,1.0000640632311402,
60000000.0,1073.15,25000000.0,2.76,23.3333333333,250.0,1.0,1073.15,312.15,0.4626932626196314,1.000065253943883,
60000000.0,1073.15,25000000.0,2.76,25.0,250.0,1.0,1073.15,312.15,0.4618586321304948,1.0000664756106057,
60000000.0,1073.15,25000000.0,2.76,26.6666666667,250.0,1.0,1073.15,312.15,0.46102119642995554,1.00006778589162,
60000000.0,1073.15,25000000.0,2.76,28.3333333333,250.0,1.0,1073.15,312.15,0.460180276294507,1.0000696239858888,
60000000.0,1073.15,25000000.0,2.76,30.0,250.0,1.0,1073.15,312.15,0.4593358283477889,1.0000720123461417,
60000000.0,1073.15,25000000.0,2.76,15.0,100.0,1.0,1073.15,312.15,0.49757685753283915,1.0000385576303397,
60000000.0,1073.15,25000000.0,2.76,15.0,122.222222222,1.0,1073.15,312.15,0.49757690423991074,1.0000384229456647,
60000000.0,1073.15,25000000.0,2.76,15.0,144.444444444,1.0,1073.15,312.15,0.49757697260334693,1.000038225812184,
60000000.0,1073.15,25000000.0,2.76,15.0,166.666666667,1.0,1073.15,312.15,0.49757708916603804,1.0000378896896465,
60000000.0,1073.15,25000000.0,2.76,15.0,188.888888889,1.0,1073.15,312.15,0.4963505155347561,1.0000337989461996,
60000000.0,1073.15,25000000.0,2.76,15.0,211.111111111,1.0,1073.15,312.15,0.48799937954364725,1.0000536418324257,
60000000.0,1073.15,25000000.0,2.76,15.0,233.333333333,1.0,1073.15,312.15,0.47503620491837734,1.0000555828291364,
60000000.0,1073.15,25000000.0,2.76,15.0,255.555555556,1.0,1073.15,312.15,0.46407837932561774,1.000063481305939,
60000000.0,1073.15,25000000.0,2.76,15.0,277.777777778,1.0,1073.15,312.15,0.4537914573246066,1.0000817892980798,
60000000.0,1073.15,25000000.0,2.76,15.0,300.0,1.0,1073.15,312.15,0.4448588002048615,1.0000842132356622,
100000000.0,1023.15,25000000.0,2.76,15.0,250.0,1.0,1023.15,312.15,0.44486014265327123,1.0000838991173322,
100000000.0,1053.92777778,25000000.0,2.76,15.0,250.0,1.0,1053.92777778,312.15,0.45719044523267627,1.000075706245604,
100000000.0,1084.70555556,25000000.0,2.76,15.0,250.0,1.0,1084.70555556,312.15,0.47245862292663077,1.0000570792217502,
