H_drop_design,Q_in,T_in_design,T_out_design,T_amb,mdot,eta_rcv,pred,truemdot
9.926943,212761234.3,899.248803,1449.424098,288.754633,272.532316,0.927901,281.406036377,272.532316
32.306122,70136582.84,822.630758,1283.45521,312.729129,-0.698504,0,27.408290863,-0.698504
12.360971,245914989.9,889.120781,1057.023617,263.944735,1131.385087,0.961279,1077.7429199219,1131.385087
42.605296,292176612.9,920.683204,1071.685055,308.300598,890.255063,0.576762,781.1377563477,890.255063
32.802884,794851743.6,894.672474,1074.74186,285.236956,3246.81666,0.918671,3187.8647460938,3246.81666
30.094317,366793794.4,781.507513,1028.894692,301.990538,1049.320208,0.86088,1054.791015625,1049.320208
38.911981,788565252.5,778.322963,1385.397119,266.930116,773.517179,0.763748,835.9915161133,773.517179
34.745162,996599712.7,924.017034,1368.843327,276.226378,1472.149998,0.859288,1482.9427490234,1472.149998
25.154324,237148134,831.572496,1235.2925,313.219757,341.465178,0.736168,362.9103088379,341.465178
48.774299,225776011.5,825.035461,1149.522704,315.276618,0,0,21.528087616,0
36.056627,983186936.7,791.810616,1455.806837,279.134028,940.862416,0.824334,1013.1755371094,940.862416
16.406784,856454818.4,936.545728,1361.222246,311.284741,1485.902512,0.96428,1439.6815185547,1485.902512
14.772661,991479767.1,878.936144,1050.210778,282.293566,4608.825477,0.988054,4704.611328125,4608.825477
18.210204,866871927.6,884.222229,1446.46287,293.925033,1111.481909,0.946802,1128.6676025391,1111.481909
24.382106,903965268.9,900.776116,1219.40668,287.54783,2094.699667,0.94296,2055.8671875,2094.699667
9.130541,219569376.7,805.729585,1222.912698,283.748402,401.739207,0.960941,428.4291687012,401.739207
12.593958,595469310.1,842.407301,1405.225964,275.839821,786.089613,0.964772,807.3245849609,786.089613
20.619733,684357745.2,925.217028,1164.937723,285.887739,2137.337622,0.952275,2061.4494628906,2137.337622
14.365051,154600321.3,820.186937,1292.359337,288.317403,219.394027,0.853955,218.8622589111,219.394027
28.042228,672331066.4,779.675561,1419.244798,295.863908,696.618664,0.853981,692.3834838867,696.618664
38.352824,329295512.8,836.443495,1104.241999,308.329755,670.262547,0.677447,662.8065795898,670.262547
30.981397,177817249.6,963.617651,1138.828042,270.718624,422.148496,0.530154,406.7579040527,422.148496
18.947959,15902015.52,919.945145,1086.07852,306.340105,-0.329542,0,-38.5406150818,-0.329542
10.777988,303343698.2,856.113283,1351.800696,272.573159,450.172319,0.950377,519.3294677734,450.172319
13.668344,605442087.1,944.68685,1359.351545,304.096956,1074.354123,0.963884,1051.3763427734,1074.354123
16.446802,330933797.6,829.468635,1185.015535,283.49861,687.502477,0.928244,652.6906738281,687.502477
8.307118,883491678.8,916.529772,1362.341543,274.313872,1506.168378,0.99199,1461.9522705078,1506.168378
46.042203,962460948.6,958.904748,1227.129245,272.152713,2236.22495,0.803698,2237.5356445313,2236.22495
8.612829,763178922.1,956.110524,1061.652367,298.871566,5712.84487,0.994362,5552.8627929688,5712.84487
25.298476,170590791.5,934.735873,1278.927149,316.219249,202.427871,0.528593,184.878616333,202.427871
19.654679,935887702.5,888.638513,1414.039703,298.440094,1288.269966,0.946536,1281.8947753906,1288.269966
10.46447,204713253.8,948.610426,1115.456632,305.28651,931.520226,0.962155,797.942199707,931.520226
44.580958,597020741.5,823.088683,1373.869072,296.583199,429.44973,0.510833,424.8433227539,429.44973
6.060781,925898844.4,963.329943,1294.205993,293.461153,2141.332161,0.996485,2161.6804199219,2141.332161
22.472843,833698209.1,966.760749,1386.92461,286.436591,1390.440927,0.924032,1333.0831298828,1390.440927
26.835654,617648005.8,846.340621,1109.174758,310.788742,1734.604882,0.919576,1728.7924804688,1734.604882
7.954184,606419640.2,858.186492,1093.975997,274.64882,2052.598277,0.993859,2062.2875976563,2052.598277
20.899424,401023354.1,798.367324,1394.590198,317.014229,452.246675,0.866104,442.9685668945,452.246675
46.400224,167033318.9,863.803397,1247.924279,298.667638,0,0,11.0090284348,0
23.20445,365906037.3,920.949981,1112.899369,283.121488,1350.484175,0.893658,1305.8402099609,1350.484175
33.30553,877151416.1,841.53994,1299.569487,290.529906,1308.294214,0.874409,1252.6495361328,1308.294214
9.294901,843359088.1,835.286348,1449.747913,287.749763,1038.604005,0.987276,1079.9243164063,1038.604005
46.70783,4040858.33,969.288817,1089.400411,263.564425,-340.492884,0,-206.7904968262,-340.492884
23.659859,914629124.6,957.861757,1466.242571,304.568648,1233.724371,0.912129,1227.7362060547,1233.724371
6.854379,505450185.5,814.02317,1333.683928,301.251445,752.443799,0.990642,819.1267700195,752.443799
17.030349,503415805.4,949.494969,1471.998444,316.932397,662.005316,0.913549,684.1957397461,662.005316
26.691926,416536817.9,926.368042,1239.596628,301.513506,870.634948,0.841735,842.0236206055,870.634948
37.1933,753981027.2,833.654117,1310.964787,295.986657,1002.082548,0.81226,1023.6132202149,1002.082548
17.248505,836392860,805.824805,1075.432391,273.041872,2467.717457,0.979094,2449.5400390625,2467.717457
45.288907,919227480.7,911.529179,1281.210519,264.788823,1502.283592,0.779508,1565.2493896484,1502.283592
24.4563,938238056,795.760385,1391.622634,275.65434,1127.998323,0.922042,1156.9591064453,1127.998323
37.670246,881887390.2,893.444071,1449.49364,283.363058,938.171943,0.778227,1006.8483276367,938.171943
39.930445,302671143.9,945.802583,1034.590049,271.689609,1860.404692,0.682939,1876.1342773438,1860.404692
