h_m,q_W,tamb_C,tin_C,tout_K,mdot_kg_per_s
30.540000,633637835.450000,16.850000,519.950000,1073.149983,1671.569145
41.680000,757528072.810000,20.970000,537.360000,1073.149983,2014.800843
39.990000,340258578.380000,26.210000,551.540000,1073.149983,765.292448
25.300000,308673146.180000,24.790000,526.340000,1073.149983,797.250282
35.070000,654616225.840000,12.420000,501.170000,1073.149983,1582.504048
39.730000,569609267.200000,2.120000,565.160000,1073.149983,1621.474288
29.990000,349025563.650000,42.750000,514.240000,1073.149983,837.757473
35.610000,514810856.510000,-0.870000,531.610000,1073.149983,1319.863500
28.760000,682783679.630000,24.190000,505.510000,1073.149983,1748.221878
40.250000,473486354.650000,19.500000,519.470000,1073.149983,1083.221384
28.210000,584952774.550000,21.880000,522.600000,1073.149983,1568.262596
31.490000,419843166.470000,9.300000,519.240000,1073.149983,1038.611640
33.200000,734748342.410000,36.700000,511.190000,1073.149983,1882.927305
37.510000,789622523.250000,32.710000,550.040000,1073.149983,2278.990045
30.650000,606990728.390000,18.090000,532.650000,1073.149983,1664.813395
33.230000,449410958.200000,30.720000,503.200000,1073.149983,1051.222156
30.510000,756961213.610000,30.380000,559.930000,1073.149983,2355.618057
44.090000,379071508.920000,9.510000,531.410000,1073.149983,748.314350
30.370000,738469189.840000,17.430000,533.340000,1073.149983,2073.456409
33.460000,411131362.940000,1.560000,541.550000,1073.149983,1069.928376
26.510000,736525356.290000,6.620000,544.460000,1073.149983,2197.404039
38.250000,605432209.080000,-1.970000,559.730000,1073.149983,1730.027227
32.970000,562336386.660000,31.400000,523.150000,1073.149983,1456.179334
44.230000,711371416.410000,41.110000,506.380000,1073.149983,1655.595800
39.930000,832471967.930000,7.050000,553.920000,1073.149983,2413.219462
36.170000,819806159.320000,-3.010000,557.970000,1073.149983,2465.309649
41.880000,422316530.830000,29.730000,527.340000,1073.149983,927.232474
42.660000,452557986.380000,5.170000,513.440000,1073.149983,956.509080
33.660000,820058934.090000,27.430000,514.860000,1073.149983,2143.657072
42.060000,572783936.480000,25.530000,558.430000,1073.149983,1555.294428
36.940000,671741948.790000,13.740000,523.280000,1073.149983,1728.484948
42.250000,503928105.520000,37.590000,548.100000,1073.149983,1268.948347
26.080000,479811774.080000,20.050000,550.660000,1073.149983,1416.999884
27.450000,388068898.780000,-4.620000,525.100000,1073.149983,1006.032408
38.220000,352153155.970000,24.480000,545.740000,1073.149983,822.682659
29.310000,626642555.680000,5.450000,513.270000,1073.149983,1626.178576
43.400000,544974929.210000,25.660000,501.180000,1073.149983,1175.145961
39.740000,342780509.520000,34.790000,552.220000,1073.149983,783.236759
26.760000,666615216.790000,31.010000,523.940000,1073.149983,1832.272191
33.630000,800701634.490000,27.070000,501.680000,1073.149983,2001.116399
42.980000,753474296.390000,-0.790000,519.190000,1073.149983,1858.281880
35.720000,356185853.190000,12.420000,557.180000,1073.149983,916.373498
44.890000,494837582.200000,22.690000,516.810000,1073.149983,1058.955736
29.490000,793476994.980000,15.170000,526.470000,1073.149983,2197.744077
34.380000,786086627.470000,39.500000,567.450000,1073.149983,2477.488920
33.280000,353110830.100000,1.840000,530.120000,1073.149983,852.034822
30.310000,631294555.860000,1.210000,520.620000,1073.149983,1669.470758
33.210000,735221037.890000,11.790000,523.250000,1073.149983,1958.930079
41.340000,482686644.910000,29.110000,529.550000,1073.149983,1133.904640
35.920000,312189280.170000,21.150000,539.540000,1073.149983,710.475286
27.230000,821025814.210000,22.440000,534.830000,1073.149983,2375.038028
36.090000,848472040.550000,11.470000,523.800000,1073.149983,2261.556104
44.350000,636258074.800000,5.130000,535.820000,1073.149983,1585.120875
27.070000,734130241.220000,35.260000,553.670000,1073.149983,2264.448854
39.720000,675180823.620000,16.680000,534.770000,1073.149983,1772.130051
38.170000,692494523.460000,40.930000,538.100000,1073.149983,1872.287973
37.100000,380284298.760000,6.630000,569.370000,1073.149983,1024.639055
34.530000,428562395.190000,31.630000,500.880000,1073.149983,971.554957
35.200000,733069831.770000,22.800000,513.870000,1073.149983,1870.753459
33.350000,324893218.840000,32.490000,554.260000,1073.149983,839.401103
31.700000,368752964.810000,10.500000,544.530000,1073.149983,970.060039
44.090000,656490554.330000,40.480000,539.150000,1073.149983,1679.712534
36.540000,395053010.010000,17.600000,541.550000,1073.149983,977.189181
35.970000,676798943.380000,1.820000,560.000000,1073.149983,2006.418988
30.840000,563526787.610000,3.110000,562.360000,1073.149983,1710.687195
40.930000,647066918.180000,2.870000,516.600000,1073.149983,1566.044511
25.700000,720514885.230000,5.820000,510.510000,1073.149983,1912.104642
37.230000,361441748.270000,2.690000,520.660000,1073.149983,792.341059
41.270000,620658086.170000,8.210000,527.470000,1073.149983,1541.324718
40.820000,422874790.560000,25.900000,511.880000,1073.149983,898.345068
44.400000,640056791.440000,15.840000,556.060000,1073.149983,1722.748191
27.590000,433332517.140000,20.960000,533.900000,1073.149983,1175.628183
28.640000,422788802.280000,18.080000,511.650000,1073.149983,1050.445773
32.220000,809590232.170000,26.500000,568.470000,1073.149983,2599.945517
43.320000,756533673.790000,5.500000,508.680000,1073.149983,1800.669655
27.390000,753153522.320000,7.530000,500.550000,1073.149983,1925.316206
44.480000,594209006.110000,1.520000,536.980000,1073.149983,1456.875868
34.950000,655770027.680000,18.190000,503.940000,1073.149983,1601.519032
39.120000,614471931.740000,43.080000,561.290000,1073.149983,1765.997951
35.950000,461871110.380000,20.480000,548.850000,1073.149983,1232.164984
41.250000,399969159.140000,19.140000,535.980000,1073.149983,893.215112
25.720000,511711781.060000,28.880000,565.440000,1073.149983,1617.610167
35.200000,356054929.530000,6.030000,524.250000,1073.149983,817.491900
28.690000,583867750.940000,-0.800000,567.960000,1073.149983,1848.472191
