P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_Q
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1171.26,253,0.9876331078
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1171.26,267.03,0.9876331078
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1171.26,281.06,0.9876331078
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1171.26,295.09,0.9876331078
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1171.26,309.12,0.9876331078
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1171.26,323.15,0.9876331078
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1196.26,253,0.9974848576
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1196.26,267.03,0.9974848576
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1196.26,281.06,0.9974848576
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1196.26,295.09,0.9974848576
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1196.26,309.12,0.9974848576
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1196.26,323.15,0.9974848576
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1191.26,253,0.9949796954
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1191.26,267.03,0.9949796954
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1191.26,281.06,0.9949796954
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1191.26,295.09,0.9949796954
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1191.26,309.12,0.9949796954
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1191.26,323.15,0.9949796954
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1186.26,253,0.9923873198
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1186.26,267.03,0.9923873198
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1186.26,281.06,0.9923873198
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1186.26,295.09,0.9923873198
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1186.26,309.12,0.9923873198
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1186.26,323.15,0.9923873198
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1181.26,253,0.9901057809
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1181.26,267.03,0.9901057809
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1181.26,281.06,0.9901057809
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1181.26,295.09,0.9901057809
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1181.26,309.12,0.9901057809
