P_net,T_in_ref_blk,p_high,PR,delta,dTemp_particle_PHX,load,T_HTF_in,T_amb_input,pinch_PHX,eta_gross,eta_cycle,UA_HTR,UA_LTR,UA_HX,W_turb_des,W_comp_des,W_recomp_des,UA_cooler,Q_HX_des,delta_temp_particle_HX,C_PB
10000000,1349.05,24495420.88,3.03,97.22,274.8397628171,0.85,1317.15,264.14,27.87,0.544215791,0.9502927489,0.544216214,17011839.75267,2702111.14641638,2549138.93028724,2508983.74651687,796658.391418871,356197.524447171,10797.6114156428,20549952.1486879,13072604.4072393
10000000,1349.05,24495420.88,3.03,97.22,274.8397628171,0.56,1308.38,312.55,27.87,0.466856818,0.904564824,0.4776160058,17011839.75267,2702111.14641638,2549138.93028724,2508983.74651687,796658.391418871,356197.524447171,10797.6114156428,20549952.1486879,13072604.4072393
10000000,1158.82,24379151.02,3.51,106.06,282.955669719,0.56,1130.74,264.04,10.34,0.291476646,0.9018921682,0.2914769952,21379621.6843417,5001420.40143042,4617611.60694491,2693333.28785955,932512.809804995,591420.042543432,10833.9217216347,25313908.7731807,15011712.0468984
10000000,1158.82,24379151.02,3.51,106.06,282.955669719,0.99,1147.61,293.13,10.34,0.4526871801,1.0080751269,0.460524686,21379621.6843417,5001420.40143042,4617611.60694491,2693333.28785955,932512.809804995,591420.042543432,10833.9217216347,25313908.7731807,15011712.0468984
10000000,1158.82,24379151.02,3.51,106.06,282.955669719,0.74,1139.57,316.22,10.34,0.3931831551,0.961733542,0.401398315,21379621.6843417,5001420.40143042,4617611.60694491,2693333.28785955,932512.809804995,591420.042543432,10833.9217216347,25313908.7731807,15011712.0468984
50000000,1456.9,24083786.79,3.26,73.16,297.5650331185,0.51,1434.01,316.32,14.93,0.4780489355,0.8057568763,0.4908902938,84042405.3845275,13141795.9657972,12097661.0388986,12182579.7213796,2880556.87985765,2338697.16058453,35610.2642305008,96646251.8435694,35393411.1175998
50000000,1456.9,24083786.79,3.26,73.16,297.5650331185,0.9,1422.36,275.76,14.93,0.5861785527,0.9532759622,0.5861840172,84042405.3845275,13141795.9657972,12097661.0388986,12182579.7213796,2880556.87985765,2338697.16058453,35610.2642305008,96646251.8435694,35393411.1175998
50000000,1456.9,24083786.79,3.26,73.16,297.5650331185,0.71,1438.41,289.61,14.93,0.5602890186,0.9046340244,0.5610613292,84042405.3845275,13141795.9657972,12097661.0388986,12182579.7213796,2880556.87985765,2338697.16058453,35610.2642305008,96646251.8435694,35393411.1175998
50000000,1276.53,24698055.23,3.93,54.34,255.4128460907,0.51,1250.95,314.43,23.27,0.3563602996,0.9082654562,0.3658849165,102178267.112712,22485893.695231,20889425.0376489,13422828.2472336,3444903.25677559,3020120.39571163,36823.6000200878,115595169.580076,41775333.8775405
50000000,1276.53,24698055.23,3.93,54.34,255.4128460907,0.76,1238.4,267.77,23.27,0.4603310107,0.9610411927,0.4603312792,102178267.112712,22485893.695231,20889425.0376489,13422828.2472336,3444903.25677559,3020120.39571163,36823.6000200878,115595169.580076,41775333.8775405
50000000,1276.53,24698055.23,3.93,54.34,255.4128460907,0.96,1246.03,285.16,23.27,0.4912694948,0.9790319353,0.491393132,102178267.112712,22485893.695231,20889425.0376489,13422828.2472336,3444903.25677559,3020120.39571163,36823.6000200878,115595169.580076,41775333.8775405
50000000,1070.74,24848502.32,2.83,32.71,186.5195768369,1.05,1035.15,297.3,20.97,0.4955052916,0.9777046215,0.5045474946,85796882.871976,13592985.2063544,13400949.2857898,11438206.7524883,6744805.68540524,4226711.35126885,103310.217361809,113114448.435934,38356649.7022664
