Category_id,keyword,Category
19,dapur kuring,Makan dan minum
19,de rivier,Makan dan minum
19,delta raya pratama,Makan dan minum
19,delta spa,Makan dan minum
19,depot 369,Makan dan minum
19,dharma kitchen indonesia,Makan dan minum
19,diamond executive club,Makan dan minum
19,dian xiao er,Makan dan minum
19,din tai fung,Makan dan minum
19,dinar,Makan dan minum
19,district 7,Makan dan minum
19,diva,Makan dan minum
19,domino's pizza,Makan dan minum
19,east west,Makan dan minum
19,eaton,Makan dan minum
19,eaton cafã©,Makan dan minum
19,excelso,Makan dan minum
19,exito,Makan dan minum
19,fab cafã©,Makan dan minum
19,fame,Makan dan minum
19,fiesta steak,Makan dan minum
19,fish & co,Makan dan minum
19,food gallery,Makan dan minum
19,food library,Makan dan minum
19,fortuna ii,Makan dan minum
19,furama,Makan dan minum
19,gado gado cemara,Makan dan minum
19,gandy steak,Makan dan minum
19,gandy steak house & bakery,Makan dan minum
19,ginsco,Makan dan minum
19,gokana,Makan dan minum
19,gokana teppan & ramen,Makan dan minum
19,golden crown,Makan dan minum
19,golden star,Makan dan minum
19,grand hwa yen,Makan dan minum
19,grand monggo mas,Makan dan minum
19,grand ollimo,Makan dan minum
19,grand paragon,Makan dan minum
19,grandma suki,Makan dan minum
19,hachi hachi bistro,Makan dan minum
19,hakata ikkousha,Makan dan minum
19,han gang,Makan dan minum
19,hanamasa,Makan dan minum
19,handels,Makan dan minum
19,handel's,Makan dan minum
19,happy puppy,Makan dan minum
19,hay thien,Makan dan minum
19,haze,Makan dan minum
19,healthy choice,Makan dan minum
19,henis,Makan dan minum
19,hipsies kitchen and bar,Makan dan minum
19,hm. karaoke,Makan dan minum
19,hog's breath cafã©,Makan dan minum
19,hokben,Makan dan minum
19,home town,Makan dan minum
19,hong men,Makan dan minum
19,hongkong cafe,Makan dan minum
19,hongkong jumbo,Makan dan minum
19,hua ming lou,Makan dan minum
19,hua shen,Makan dan minum
19,hunan kitchen,Makan dan minum
19,hungry hiro,Makan dan minum
19,hungry town,Makan dan minum
19,i - ta suki,Makan dan minum
19,ichiban sushi,Makan dan minum
19,ikkudo ichi,Makan dan minum
19,illigal's,Makan dan minum
19,imperial cakery,Makan dan minum
19,imperial chef,Makan dan minum
19,inul vizta,Makan dan minum
19,inul vizta family ktv,Makan dan minum
19,jade imperial,Makan dan minum
19,jakarta fried chicken,Makan dan minum
19,jala jala,Makan dan minum
19,joni steak,Makan dan minum
19,jun njan,Makan dan minum
19,k - one,Makan dan minum
19,kafe batavia,Makan dan minum
19,kafe betawi,Makan dan minum
19,kamseng,Makan dan minum
19,kemangi,Makan dan minum
19,kenny rogers,Makan dan minum
19,kentucky fried chicken,Makan dan minum
19,kin no taki,Makan dan minum
19,king nursijan,Makan dan minum
19,kitchenette,Makan dan minum
19,kiyadon,Makan dan minum
19,kiyadon sushi,Makan dan minum
19,kopitiam,Makan dan minum
19,kuahnya,Makan dan minum
19,l&l hawaiian barbecue,Makan dan minum
19,la biere,Makan dan minum
19,la finestra ristorante,Makan dan minum
19,lac mei che huo kuo,Makan dan minum
19,lavicas cafe,Makan dan minum
19,le vintage wine & spirit,Makan dan minum
19,lei garden,Makan dan minum
19,liebar,Makan dan minum
19,little penang,Makan dan minum
19,little sheep shabu shabu,Makan dan minum
19,liyen,Makan dan minum
19,luciole bistro,Makan dan minum
19,mao jia cai,Makan dan minum
19,marno's cafã©,Makan dan minum
19,marugame udon,Makan dan minum
19,marutama ra - men,Makan dan minum
19,maxi bistro restaurant,Makan dan minum
19,may star,Makan dan minum
19,mbah jingkrak,Makan dan minum
19,mc donalds,Makan dan minum
19,mc donald's,Makan dan minum
19,metropolitan,Makan dan minum
19,michel's patisserie,Makan dan minum
19,midori,Makan dan minum
19,mie ayam pinangsia,Makan dan minum
19,milles,Makan dan minum
19,ministry of beer,Makan dan minum
19,mister baso,Makan dan minum
19,mix max,Makan dan minum
19,mixx grill,Makan dan minum
19,mr. locus,Makan dan minum
19,mr. pancake,Makan dan minum
19,nabemono suki & japanese resto,Makan dan minum
19,nan xiang & northen chinese cuisine,Makan dan minum
19,nan xiang & northern chinese chisine,Makan dan minum
19,nan xiang steamed bun,Makan dan minum
19,nanny's pavillon,Makan dan minum
19,nanxiang & northern chinese cuisine,Makan dan minum
19,nasi tim baru,Makan dan minum
19,new town,Makan dan minum
19,new unicorn,Makan dan minum
19,ni hao,Makan dan minum
19,ninety nine,Makan dan minum
19,noodle cafã©,Makan dan minum
19,nusa indah,Makan dan minum
19,oasis,Makan dan minum
19,old city,Makan dan minum
19,old town,Makan dan minum
19,old town white coffee,Makan dan minum
19,oldtown white coffee,Makan dan minum
19,olive vine,Makan dan minum
19,open door,Makan dan minum
19,palem cafã©,Makan dan minum
19,pancious pancake house,Makan dan minum
19,paradise dynasty,Makan dan minum
19,paradise inn,Makan dan minum
19,paregu,Makan dan minum
19,pasta de waraku,Makan dan minum
19,payuri,Makan dan minum
19,pegasus,Makan dan minum
19,penang bistro,Makan dan minum
19,penang paradise,Makan dan minum
19,pepper lunch,Makan dan minum
19,pines kitchen,Makan dan minum
19,pique nique,Makan dan minum
19,pizza e birra,Makan dan minum
19,pizza hut,Makan dan minum
19,pizza hut delivery,Makan dan minum
19,pizza hut delivery ( phd ),Makan dan minum
19,platinum,Makan dan minum
