transaction_id,ent
269069,['hema']
269081,['kopi']
269082,['tokopedia']
282099,['bunga']
282134,['tokopedia']
283360,['tokopedia']
283941,['sms']
283943,['sms']
283949,['sms']
283952,['sms']
283953,['pulsa']
283961,['plaza']
283969,['bar']
283986,['pulsa']
284004,['bar']
284006,['bar']
284384,['tokopedia']
284406,['kredit']
285475,['noodle']
294441,['shopee']
294447,['shopee']
294454,['jajan']
287980,['kado']
294528,['shopee']
294539,['tokopedia']
294588,['shopee']
294886,['pulsa']
294911,['pulsa']
294912,"['spotify', 'sampan', 'spotify']"
294934,['sms']
294935,['plaza']
294940,['pulsa']
294946,['bibit']
294948,['shopee']
294954,['corner']
294956,['sahabat']
294961,['pulsa']
294966,['pulsa']
294968,['pulsa']
295599,['netflix']
295608,['informa']
295622,['grill']
295623,['netflix']
295646,['informa']
295681,['informa']
2019031,['brawijaya']
297916,['plaza']
297928,['plaza']
298011,['sms']
298266,['shopee']
298324,['gaji']
298379,['agung']
298397,['plaza']
298413,['gaji']
298501,['gaji']
299083,"['cicilan', 'cicilan']"
1410384,['shopee']
1410381,['shopee']
564651,['soto']
306922,['traveling']
306943,['lunch']
307206,"['spotify', 'spotify']"
307218,['netflix']
307380,['netflix']
307382,['netflix']
307383,"['spotify', 'spotify']"
307390,"['netflix', 'spotify']"
307417,['gyu']
307498,['netflix']
307510,['netflix']
308296,['sekar']
308304,['sekar']
308318,['sekar']
3170071,['kado']
3170067,['kado']
308999,[]
309029,[]
309612,['gaji']
309648,['gaji']
310182,['tokopedia']
311234,['edukasi']
311251,['edukasi']
311252,['edukasi']
311257,['tokopedia']
311262,['edukasi']
311268,['edukasi']
311269,"['nike', 'edukasi']"
311278,"['dinner', 'cahaya baru']"
311318,['edukasi']
311333,['laura']
311532,['plaza']
1003239,['shopee']
314056,['bibit']
314928,"['cicilan', 'cicilan']"
315361,['plaza']
315921,['gaji']
316012,['obat']
316095,['mie']
316110,['obat']
316223,['tokopedia']
316231,['tokopedia']
316265,['jajan']
316279,['tokopedia']
316842,['shopee']
316845,['plaza']
316876,['shopee']
316892,['shopee']
316950,['plaza']
316985,['plaza']
317017,['kredit']
317038,['shopee']
317043,['plaza']
317078,['shopee']
317089,['plaza']
319166,['plaza']
319858,['bonus']
319870,['gojek']
319879,['gojek']
319910,['bonus']
320198,['shopee']
320215,['shopee']
320218,['invest']
320224,['shopee']
320230,['shopee']
320233,['bunga']
320240,['shopee']
320247,['shopee']
320248,['shopee']
320260,['shopee']
320262,"['bukalapak', 'plaza']"
320264,['shopee']
320267,['kredit']
320274,['shopee']
320286,['shopee']
320307,['shopee']
320316,['shopee']
2013601,['jajan']
321362,['invest']
3170068,['kado']
321876,[]
321963,['sayur']
321975,['hokben']
6488316,['gaji']
323158,['invest']
323898,['shopee']
323900,['invest']
325049,['informa']
325069,['informa']
325102,['bibit']
325103,['bibit']
325110,['bibit']
325134,['informa']
325163,['informa']
325170,['bibit']
325171,['bibit']
325175,['bibit']
325197,['informa']
325238,['wendy']
325239,['wendy']
325242,['wendy']
325243,['ganesha']
325250,['plaza']
325254,['plaza']
325259,['plaza']
325269,['ganesha']
325279,['wendy']
325360,['vitamin']
326588,"['tokopedia', 'tokopedia']"
326592,"['sate', 'sate']"
326607,['tokopedia']
326609,['plaza']
326615,"['tokopedia', 'tokopedia']"
326616,"['tokopedia', 'tokopedia']"
326617,['plaza']
326619,['tokopedia']
326623,"['tokopedia', 'tokopedia']"
326626,['tokopedia']
326632,['tokopedia']
326635,['tokopedia']
326644,['tokopedia']
326650,['dimsum']
326656,"['tokopedia', 'tokopedia']"
326662,"['tokopedia', 'tokopedia']"
326667,"['tokopedia', 'tokopedia']"
326669,"['tokopedia', 'tokopedia']"
326674,['tokopedia']
326677,['firdaus']
326680,['tokopedia']
326682,['tokopedia']
326683,['tokopedia']
326693,['tokopedia']
326701,['tokopedia']
326709,['plaza']
326710,['tokopedia']
326721,['tokopedia']
326729,['tokopedia']
326731,['tokopedia']
326734,['tokopedia']
326736,['tokopedia']
326738,"['tokopedia', 'tokopedia']"
326739,['tokopedia']
326747,['plaza']
326750,['tokopedia']
326762,['tokopedia']
326767,['tokopedia']
326769,['tokopedia']
326774,['tokopedia']
326786,['tokopedia']
326793,['shopee']
326795,['tokopedia']
326797,['tokopedia']
326806,"['tokopedia', 'tokopedia']"
326809,['tokopedia']
326812,['tokopedia']
326814,['tokopedia']
326816,['tokopedia']
326819,['tokopedia']
326821,['tokopedia']
326828,['tokopedia']
326830,['tokopedia']
326833,['tokopedia']
326836,['tokopedia']
326838,['tokopedia']
326845,"['tokopedia', 'tokopedia']"
326846,"['tokopedia', 'tokopedia']"
326850,"['jajan', 'jajan', 'jajan']"
326851,['tokopedia']
326854,['shopee']
326856,['tokopedia']
326866,['tokopedia']
326877,['tokopedia']
326881,['tokopedia']
326887,['tokopedia']
326889,"['tokopedia', 'tokopedia']"
326891,"['tokopedia', 'tokopedia']"
326893,"['tokopedia', 'tokopedia']"
326897,"['tokopedia', 'tokopedia']"
326906,['plaza']
326915,['tokopedia']
326919,['tokopedia']
326925,['tokopedia']
326932,['donasi']
326934,['tokopedia']
326937,['tokopedia']
326939,['tokopedia']
326940,['plaza']
326943,['tokopedia']
327468,['plaza']
327488,['shopee']
328047,['persada']
328097,['persada']
328101,['kfc']
328165,['happy']
