Name,Rating,NumberOfUser,Address,lat,lon
Kopi Kenangan - Sudirman Park,4.8,5,"Ruko Sudirman Park Blok B No. 1, GF, Jl. K.H. Mas Mansyur No.Kav.35, RT.12/RW.11, Karet Tengsin, Kota Jakarta Pusat",-6.2054908,106.8179922
Goedkoop,4.4,1793,"Jl. Bendungan Hilir No.62, RT.5/RW.1, Bend. Hilir, Kota Jakarta Pusat",-6.2128838,106.8127817
Otten Coffee Citywalk Sudirman,4.2,5,"Citywalk Sudirman, Lantai G, Unit 22-23, Jl. K.H. Mas Mansyur No.121, RT.10/RW.11, Karet Tengsin, Kota Jakarta Pusat",-6.209024,106.8183992
Skywalker Coffee,4.2,19,"Jl. K.H. Mas Mansyur Kav. 126, Jakarta, TCC Batavia Tower 1 Lantai P3/7, Karet Tengsin, Kota Jakarta Pusat",-6.211207,106.816412
KLTR Jakarta,4.6,699,"Jl. K.H. Mas Mansyur No.Kav. 24, RT.12/RW.11, Karet Tengsin, Kota Jakarta Pusat",-6.207624,106.817744
Casa Kopi,4.6,175,"Jl. Penjernihan IV Jl. Pejompongan Dalam No.9, RT.12/RW.5, Bend. Hilir, Kota Jakarta Pusat",-6.2063225,106.8043295
Coffeedential To Go! Palmerah,4.2,28,"Bentara Budaya Jakarta, Jl. Palmerah Sel. No.17, RT.4/RW.2, Gelora, Kota Jakarta Pusat",-6.2102332,106.795501
Item Manis Coffee,4.9,17,"Grand ITC Permata Hijau Blok Sapphire No. 16, Jl. Arteri Permata Hijau, RT.7/RW.10, Grogol Utara, Kota Jakarta Selatan",-6.2203611,106.7827793
KiRBi KoPi - Kemanggisan,4.7,20,"Jl. Kyai H. Syahdan No.13C, RT.6/RW.12, Palmerah, Kota Jakarta Barat",-6.2008293,106.7831207
Portal Coffee To Go & Roastery,4.7,28,"Jl. Panjang Arteri Klp. Dua Raya No.28B,RT 07/05, RT.7/RW.5, Kelapa Dua, Kota Jakarta Barat",-6.2099322,106.7707999
Mazea Coffee & Roastery,0,0,"Jl. Joglo Raya No.69, RT.6/RW.2, Joglo, Jakarta",-6.2196892,106.7255575
Yakunu Coffee & Roastery,4.7,7,"Jl. Tebet Tim. Dalam XI No.61A, RT.7/RW.6, Tebet Tim., Kota Jakarta Selatan",-6.2371913,106.8584156
Kopikina Coffee Roaster,4.4,1579,"Jl. Tebet Timur Dalam Raya No.43, RT.1/RW.8, Tebet Tim., Kota Jakarta Selatan",-6.239272,106.8562309
Sleepless Owls Coffee & Street Food,4.3,2509,"Jl. Tebet Utara Dalam No.27, Tebet Tim., Kota Jakarta Selatan",-6.2259945,106.8547286
CoPaste Coffee Roastery,4.4,262,"Jl. Tebet Barat Dalam Raya No.RT. 13, RT.13/RW.2,Tebet Barat, Kota Jakarta Selatan",-6.231945,106.845836
Lucky Cat coffee & kitchen,4.5,3289,"Parkir Selatan Plaza Festival, Jl. H. R. Rasuna Said No.C22, RT.2/RW.5, Karet Kuningan, Kota Jakarta Selatan",-6.2213856,106.8337835
Upnormal Coffee Express Ariobimo,4.7,21,"Ariobimo Sentral, Jl. H. R. Rasuna Said No.Kav X-2 No. 5, RT.9/RW.4, Kuningan Tim., Kota Jakarta Selatan",-6.2275326,106.8336564
Crematology x Senopati,4.4,1515,"Jl. Suryo No.25, RT.3/RW.6, Rw. Bar., Kota Jakarta Selatan",-6.2353921,106.813797
Matriks Coffee Roasters,4.6,93,"l, Jl. Matrik No.3B, RT.6/RW.2, Karet Semanggi, Kota Jakarta Selatan",-6.2254896,106.8213454
Monochrome Coffee Guild,4.3,54,"Lippo Mall, Jl. Kebalen V No.36, RT.11/RW.5, Bangka, Kota Jakarta Selatan",-6.2345689,106.817679
Toko Kopi TUKU - Pasar Santa,4.7,532,"Pasar Santa, Lantai Dasar, Kiosk 176-177, Jl. Cipaku I No.2, RW.4, Petogogan, Kota Jakarta Selatan",-6.2400682,106.8120412
Tanamera Coffee & Roastery Sopo Del,4.6,40,"Jl. Mega Kuningan Barat III, RT.5/RW.5, Kuningan, Kota Jakarta Selatan",-6.2305883,106.8239267
Otten Coffee Senopati,4.7,586,"Jl. Senopati No.77, Selong, Kota Jakarta Selatan",-6.2327709,106.812004
Toko dunia kopi dan plastik,4.9,60,"Santa Modern Market Lt. Semi Basement, Jl. Cipaku I, RT.5/RW.4, Petogogan, Kota Jakarta Selatan",-6.2399791,106.8120132
KOPI INI BLOK S,4.4,51,"No, Jl. Birah Raya No.10, RT.5/RW.6, Rw. Bar., Kota Jakarta Selatan",-6.2358853,106.8148843
Arka Coffee - Pasar Santa,4.6,53,"Pasar Santa Lantai 1 Los AKS 33-35, Jl. Cipaku I, RT.5/RW.4, Petogogan, Kota Jakarta Selatan",-6.2398159,106.812228
KAPYC COFFEE AND ROASTERY,4.6,95,"Jl. Taman MPU Sendok, Jl. Senopati No.3, RT.8/RW.3, Selong, Kota Jakarta Selatan",-6.2315182,106.8104107
Tanamera Coffee Pacific Place,4.5,760,"One Pacific Place Lobby One Level B1, Jalan Jenderal Sudirman Kav. 52-53 SCBD, Senayan, Kebayoran Baru, RT.5/RW.3, Senayan, Kota Jakarta Selatan",-6.2237554,106.80966
Chief Coffee Jakarta,4.5,649,"Jl. Ciragil I No.11, Rw. Bar., Kota Jakarta Selatan",-6.238081,106.808875
KUPPIE Coffee & Roastery,4.6,39,"STC Senayan GF/56 Jalan Asia Afrika Pintu IX Gelora Senayan, RT.1/RW.3, Gelora, Kota Jakarta Pusat",-6.227721,106.798773
Anomali Coffee FX Sudirman,4.6,9,"Jl. Jend. Sudirman No.1, RT.1/RW.3, Gelora, Kota Jakarta Pusat",-6.2247781,106.8041132
Ragil Coffee & Roastery,4.6,115,"Jl. Daksa I No.11, Selong, Kota Jakarta Selatan",-6.2347588,106.8071713
"1/15 Coffee, Senopati",4.5,164,"Jl. Senopati No.61, RT.8/RW.3, Selong, Kota Jakarta Selatan",-6.2322201,106.8112238
NITRO COFFEE,4.4,710,"Jl. Ciranjang No.10, RT.1/RW.1, Rw. Bar., Kota Jakarta Selatan",-6.2378175,106.8112885
Bukanagara Coffee & Roastery,4.7,52,"Graha CIMB Niaga, Jl. Jend. Sudirman, RT.5/RW.3, Senayan, Kota Jakarta Selatan",-6.2256983,106.806466
Sleepyhead Coffee,4.4,386,"Jl. Gunawarman No.63, RT.3/RW.7, Rw. Bar., Kota Jakarta Selatan",-6.237525,106.8074722
That's Life Coffee,4.3,217,"Jl. Gunawarman No. 24 Lantai 2, RT.5/RW.2, Selong, Kota Jakarta Selatan",-6.236551,106.807472
Anomali Coffee Pakubuwono,4.5,558,"Khusus, Jl. Pakubuwono VI No.57, RT.11/RW.2, Gunung, Kebayoran Baru,Jakarta",-6.2375917,106.7869949
First Crack Coffee,4.6,308,"Jl. Bumi No.10, RT.2/RW.3, Gunung, Kota Jakarta Selatan",-6.2371348,106.7899476
Singgah Kitchen & Coffee,4.6,27,"Jl. Pakubuwono VI No.2, RT.1/RW.4, Gunung, Kota Jakarta Selatan",-6.2352069,106.7924122
Mat Kopi 2 / Roastery,4.6,35,"RT.16/RW.9, Cipulir, Kota Jakarta Selatan",-6.233532,106.7713661
Mura Kedai Kopi,4.6,284,"Jl. Panjang No.7, RT.1/RW.8, Cipulir, Kota Jakarta Selatan",-6.2352713,106.7721422
Mat Kopi Cidodol (pusat),4.9,32,"Jalan Panjang Cipulir,Pasar Cidodol Blok A. LOO. AKS. 087, RT.16/RW.9, Cipulir, Kota Jakarta Selatan",-6.233313,106.7714228
Lulacky Lacassava,4.3,111,"Jl. Damai Jl. Sunan Kalijaga Tim. II No.15, RT.01/RW.004, Larangan Indah, Kota Tangerang",-6.229948,106.727679
Upnormal Coffee Roasters Kalibata,4.4,680,"Kalibata City Square, Unit LG-Mall dan GF-Tower K, Jl. Raya Kalibata No.1, RW.4, Rawajati,Kota Jakarta Selatan",-6.2563714,106.8516601
BUTIR KOPI,4.9,44,"Jl. TMP kalibata no. 1 Apartemen Kalibata City Tower Akasia, RT.9/RW.4, Rawajati, Kota Jakarta Selatan",-6.256689,106.8537093
MUG Authentic Coffee Atjeh - Kalibata,4.6,217,"Jl. Kalibata Raya No. 1 Kalibata City Apartment, Tower Kemuning GF AT-K CT K9-10, RT.9/RW.4, Rawajati, Kota Jakarta Selatan",-6.2572684,106.8521429
Shoot Me In The Head Coffee Bar and Roastery,4.5,680,"Jl. Duren Tiga Raya No.19, RT.8/RW.5, Duren Tiga, Kota Jakarta Selatan",-6.2538614,106.8323086
Pentatonic Coffee,4.5,43,"Jl. Bangka XI No.18, RT.6/RW.1, Bangka, Kota Jakarta Selatan",-6.2546814,106.8168756
Upnormal Coffee Roasters Kemang Raya,4.4,245,"Jl. Kemang Raya No.9, RT.1/RW.7, Bangka, Kota Jakarta Selatan",-6.2551126,106.811372
Kopi Kosan,4,1,"Santa Modern Market, Lantai 1, BKS-063, Jl. Cisanggiri II No.RT.5, RT.5/RW.4, Petogogan, Kota Jakarta Selatan",-6.2398602,106.8120361
Tanamera Coffee & Roastery Kemang,4.7,299,"Jl. Taman Kemang 1 No.6, RT.14/RW.1, Bangka, Kota Jakarta Selatan",-6.2558055,106.8099748
Harapan Djaya Coffee Roasters,4.6,358,"Jl. Panglima Polim V No.36, RT.1/RW.7, Melawai, Kota Jakarta Selatan",-6.2506194,106.797925
Filosofi Kopi Melawai,4.5,6083,"Kawasan Terpadu Blok M Square, Jl. Melawai 6 No.1, RT.3/RW.1, Melawai, Kota Jakarta Selatan",-6.2445222,106.7997922
Warung Kopi Mendem Irenk,4.9,122,"Cililin no. 12, Jl. Cililin No.12, RT.15/RW.6, Petogogan, Kota Jakarta Selatan",-6.2413749,106.8083505
Abdinagri Coffee & Roastery,0,0,"Jl. Wijaya I No.7, RW.4, Petogogan, Kota Jakarta Selatan",-6.2447358,106.8101006
