H_rcv,Q_in,T_in_design,T_out_design,T_amb,mdot,eta_rcv
22.588048,822151622.900000,859.600181,1185.572070,308.405732,1898.586103,0.950630
44.777789,152258313.000000,817.383675,1256.973594,316.460269,194.729500,0.409288
9.190019,635503540.700000,840.514608,1029.682102,296.206193,2715.202966,0.993360
19.065816,448133121.500000,832.949720,1186.631828,290.818289,937.617590,0.930703
44.981129,766566180.500000,818.612006,1055.230339,305.844025,2231.195308,0.846807
7.751738,128510391.500000,807.659795,1049.956324,272.311402,418.825149,0.968289
16.831463,412159242.200000,832.822091,1129.714287,266.141125,1055.072839,0.947695
15.096921,411921688.400000,844.447036,1111.918758,294.183882,1188.165255,0.961246
20.668840,717219627.300000,810.948081,1124.195720,269.987324,1766.571604,0.957809
15.464200,71810688.490000,821.945301,1066.127260,300.422614,183.048509,0.767084
27.616122,776602187.200000,830.026230,1256.564306,284.294746,1302.092282,0.908217
7.712213,956350647.900000,872.537846,1203.354669,300.180524,2268.636231,0.995614
10.975275,212528333.300000,842.360855,1074.075860,292.533597,712.544003,0.961916
35.070672,750828885.700000,861.643518,1258.063994,293.800372,1261.909993,0.850462
14.245594,545931936.500000,798.203704,1249.893430,301.425066,923.191213,0.964212
27.158271,381380734.000000,859.737515,1139.631677,289.332505,931.081449,0.857085
33.033909,401356430.700000,824.319308,1195.366786,273.856543,660.777206,0.768231
46.878081,816447286.000000,855.307228,1135.702994,303.222022,1887.612823,0.812065
34.362663,251869753.600000,812.461672,1223.145421,314.634087,232.903745,0.478620
5.014379,663680500.100000,812.317784,1161.499941,301.718740,1518.421213,0.997644
35.326997,195287925.300000,801.476418,1051.968584,268.571962,342.996680,0.539077
13.848689,248557564.600000,844.047572,1056.069848,295.654014,902.564919,0.950837
36.472467,113792234.100000,814.996070,1196.978065,307.419351,194.729500,0.409288
43.065666,392794097.500000,817.624562,1212.275012,312.025654,405.629412,0.513250
30.722813,78925663.450000,853.229560,1074.603840,311.666069,194.729500,0.409288
43.771705,297338247.600000,800.527815,1078.649308,285.158781,443.850824,0.510808
42.932931,644661201.700000,849.976279,1154.070313,266.227516,1326.594294,0.785373
21.519418,447247085.800000,871.032016,1199.478951,293.606149,977.956265,0.910433
28.124028,693385885.300000,826.511498,1065.051640,316.404642,2193.647131,0.930608
37.475402,462173602.600000,868.768313,1238.796607,297.573691,695.369664,0.709497
21.468910,279051156.300000,866.682296,1140.242476,314.802967,711.689793,0.876160
33.001219,531807013.800000,843.499105,1241.232125,268.792207,857.382017,0.814265
32.531647,384523608.500000,832.538707,1135.107858,265.107382,811.942148,0.797290
27.172442,207847561.600000,814.605566,1129.207787,317.400373,385.483897,0.725330
49.393882,696527216.400000,838.524329,1068.664757,281.421275,1924.769500,0.786272
23.544077,74910638.470000,840.981768,1073.660780,274.236408,91.249820,0.350837
23.994523,56338492.420000,833.064415,1049.147368,283.108883,194.729500,0.409288
47.077042,496367913.700000,851.154536,1048.762527,294.331825,1494.880765,0.735008
11.764073,259755471.400000,848.379359,1029.919703,285.719025,1127.389676,0.969734
