H_drop_design,T_out_design,T_amb_design,T_in_design,Q_in,eta_rcv,Q_limit
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,519542404.602568,0.9347979714,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,998172827.973586,0.9687849219,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,843986755.242042,0.9623490375,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,612838963.080203,0.9458883712,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,728884888.603113,0.9555645468,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,309876757.556198,0.8873653494,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,241001581.969101,0.8560445697,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,484865389.718211,0.9295845747,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,679256801.893426,0.9518597882,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,72089089.212457,0.3711419539,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,441986774.51503,0.9220561852,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,121318389.572915,0.6930168108,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,867009263.313767,0.9634704752,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,537717347.767552,0.9372653226,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,656038827.009266,0.9499185357,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,934084367.697442,0.9663931295,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,197929344.90138,0.8248766151,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,286366012.906885,0.8782799362,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,796354700.688573,0.9598016286,70642395.3417199
24.4709488764,1024.7767300835,288.6723298716,831.8810180225,364138746.767196,0.9042989451,70642395.3417199
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,806544783.565851,0.929971776,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,411588576.879851,0.8561459916,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,354769365.340312,0.8323851655,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,760587030.844117,0.925403509,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,983749383.638803,0.9433863198,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,879323063.283163,0.9361757618,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,446764688.591921,0.8679609963,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,654885481.160407,0.9123186887,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,164992919.430043,0.6140914731,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,638286857.383167,0.9098518054,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,510193359.809972,0.8852882107,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,276834747.993487,0.784319239,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,136637977.718326,0.5001898913,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,560381565.075313,0.8962629773,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,855197471.323011,0.9342432082,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,934453666.717881,0.9401955564,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,234172774.478881,0.7432158686,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,297023246.779865,0.7992455694,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,473159674.276064,0.8757188514,105991630.213917
27.9535256804,1136.7208309945,295.0552787038,984.5307306364,706237551.855258,0.919188338,105991630.213917
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,782621010.682905,0.7572630933,355452494.400073
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,717400170.099655,0.7338830976,355452494.400073
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,954283691.116132,0.8025210243,355452494.400073
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,457581003.963955,0.5444464622,355452494.400073
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,381837919.356293,0.3914606751,355452494.400073
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,686135503.822271,0.7208427015,355452494.400073
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,875955710.70033,0.7841602938,355452494.400073
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,505732271.530683,0.6017279075,355452494.400073
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,996768678.751885,0.8112595923,355452494.400073
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,751692543.165707,0.7467462383,355452494.400073
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,864078187.544483,0.7810775157,355452494.400073
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,831485248.123861,0.7721446789,355452494.400073
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,392926310.981599,0.4224093329,355452494.400073
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,564302107.827263,0.6520364149,355452494.400073
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,525123644.862957,0.6202393513,355452494.400073
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,632290476.074306,0.6946544668,355452494.400073
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,928031139.059438,0.7967186671,355452494.400073
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,601123051.089978,0.6767203644,355452494.400073
36.0883441507,1429.8886057988,288.2696019095,1200.881307609,431593288.725487,0.5039368282,355452494.400073
