H_drop_design,T_out_design,T_amb_design,T_in_design,Q_in,eta_rcv,q_limit
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,751581483.231322,0.8715550931,186487167.844139
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,675670017.609264,0.8598011136,186487167.844139
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,464511144.757459,0.790145877,186487167.844139
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,497217166.186874,0.8063142013,186487167.844139
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,355887781.770736,0.7089095916,186487167.844139
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,940842929.250935,0.8972018588,186487167.844139
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,321872394.274819,0.6679842048,186487167.844139
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,255969051.136822,0.542860025,186487167.844139
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,548043273.78578,0.8240977429,186487167.844139
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,794133294.996289,0.8809010204,186487167.844139
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,393732840.295315,0.7434865313,186487167.844139
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,892354408.972511,0,186487167.844139
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,981575302.630669,0.9067037854,186487167.844139
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,637768705.73918,0.8503900153,186487167.844139
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,846041933.618294,0.9120017586,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,439209978.60599,0.8218818377,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,268111529.929192,0.6811065973,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,886000947.943709,0.914330202,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,773391556.893763,0.9019734302,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,629976321.385768,0.8778781208,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,291083917.986765,0.7134009165,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,731081308.538286,0.8959814597,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,163390226.804525,0.3431856147,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,801589664.565534,0.9056590357,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,382482521.756651,0.7931915527,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,596234193.7772,0.8713943457,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,573480340.069944,0.8670889689,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,327408405.654295,0.7523160803,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,693058974.982201,0.8880800418,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,480210421.350484,0.839026737,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,231705384.249109,0.611119383,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,932824305.77321,0.9198110011,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,991989265.421068,0.9257703582,152563063.992729
31.5232932901,1167.9745773528,260.0983361446,881.2709158549,521832724.50863,0.8526226113,152563063.992729
9.8564741383,1426.7593136516,262.3309120032,1307.1155825225,939463186.331635,0.9847234696,33950927.2520859
9.8564741383,1426.7593136516,262.3309120032,1307.1155825225,592711449.514302,0.9756753398,33950927.2520859
