H_drop_design,Q_in,T_in_design,T_out_design,T_amb,mdot,eta_rcv
32.162776,425777547.8,889.58003,1438.377082,314.793647,361.431481,0.611686
11.444806,528233274,838.631783,1333.787792,277.470866,806.545958,0.971825
16.034716,568866196.6,890.454369,1074.707198,269.54327,2405.576921,0.972467
9.111154,528634548,916.716569,1282.505322,309.321511,1102.700906,0.985383
26.972208,740095800.9,914.471238,1193.373221,284.172542,1909.464065,0.9175
39.78179,851564189.4,861.696704,1258.318993,313.17917,1398.512265,0.831489
27.629445,940474601.9,952.314805,1081.437012,292.406803,5481.609688,0.949502
12.433974,297248068.8,773.25058,1332.03375,267.321795,391.487507,0.93621
8.288703,98726420.71,929.94709,1253.416859,283.224769,218.605308,0.923105
10.765702,228835047.1,794.021701,1154.936802,314.157455,487.473416,0.956256
27.713324,48882918.41,784.278782,1236.606022,273.787257,-0.575532,0
33.834737,970704694.9,797.554056,1081.832456,307.572022,2569.445811,0.925834
24.41487,450432120.5,807.30763,1240.664511,300.907978,724.86231,0.880448
12.786351,918546536.4,909.300662,1251.719812,276.205533,2056.566828,0.984824
6.417686,835879485,868.509516,1059.01031,312.233063,3527.661205,0.99742
31.419202,260756276.9,892.186488,1349.513347,266.239672,175.621168,0.399937
16.816582,470322613.9,898.251341,1358.145579,310.897652,728.394252,0.926682
31.888012,454053050.2,874.912898,1307.429244,276.471661,614.736222,0.754119
9.926943,212761234.3,899.248803,1449.424098,288.754633,272.532316,0.927901
32.306122,70136582.84,822.630758,1283.45521,312.729129,-0.698504,0
12.360971,245914989.9,889.120781,1057.023617,263.944735,1131.385087,0.961279
42.605296,292176612.9,920.683204,1071.685055,308.300598,890.255063,0.576762
32.802884,794851743.6,894.672474,1074.74186,285.236956,3246.81666,0.918671
30.094317,366793794.4,781.507513,1028.894692,301.990538,1049.320208,0.86088
38.911981,788565252.5,778.322963,1385.397119,266.930116,773.517179,0.763748
34.745162,996599712.7,924.017034,1368.843327,276.226378,1472.149998,0.859288
25.154324,237148134,831.572496,1235.2925,313.219757,341.465178,0.736168
48.774299,225776011.5,825.035461,1149.522704,315.276618,0,0
36.056627,983186936.7,791.810616,1455.806837,279.134028,940.862416,0.824334
16.406784,856454818.4,936.545728,1361.222246,311.284741,1485.902512,0.96428
14.772661,991479767.1,878.936144,1050.210778,282.293566,4608.825477,0.988054
18.210204,866871927.6,884.222229,1446.46287,293.925033,1111.481909,0.946802
24.382106,903965268.9,900.776116,1219.40668,287.54783,2094.699667,0.94296
9.130541,219569376.7,805.729585,1222.912698,283.748402,401.739207,0.960941
12.593958,595469310.1,842.407301,1405.225964,275.839821,786.089613,0.964772
20.619733,684357745.2,925.217028,1164.937723,285.887739,2137.337622,0.952275
14.365051,154600321.3,820.186937,1292.359337,288.317403,219.394027,0.853955
28.042228,672331066.4,779.675561,1419.244798,295.863908,696.618664,0.853981
38.352824,329295512.8,836.443495,1104.241999,308.329755,670.262547,0.677447
30.981397,177817249.6,963.617651,1138.828042,270.718624,422.148496,0.530154
18.947959,15902015.52,919.945145,1086.07852,306.340105,-0.329542,0
10.777988,303343698.2,856.113283,1351.800696,272.573159,450.172319,0.950377
13.668344,605442087.1,944.68685,1359.351545,304.096956,1074.354123,0.963884
16.446802,330933797.6,829.468635,1185.015535,283.49861,687.502477,0.928244
8.307118,883491678.8,916.529772,1362.341543,274.313872,1506.168378,0.99199
46.042203,962460948.6,958.904748,1227.129245,272.152713,2236.22495,0.803698
8.612829,763178922.1,956.110524,1061.652367,298.871566,5712.84487,0.994362
25.298476,170590791.5,934.735873,1278.927149,316.219249,202.427871,0.528593
19.654679,935887702.5,888.638513,1414.039703,298.440094,1288.269966,0.946536
10.46447,204713253.8,948.610426,1115.456632,305.28651,931.520226,0.962155
44.580958,597020741.5,823.088683,1373.869072,296.583199,429.44973,0.510833
6.060781,925898844.4,963.329943,1294.205993,293.461153,2141.332161,0.996485
