P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,T_high,load,T_HTF_in_K,T_amb_input_K,eta_gross,eta_Q
59017274.95,1099.86,24724862.66,2.78,810.85,1017.6348876611955,0.84,1088.91,289.39,0.45372749733950946,0.9690141119183117
59017274.95,1099.86,24724862.66,2.78,810.85,1017.6348876611955,0.99,1092.97,282.29,0.5020727528522351,0.9860275251434224
59017274.95,1099.86,24724862.66,2.78,810.85,1017.6348876611955,0.96,1097.54,307.96,0.48850685966476476,0.9815990676711179
59017274.95,1099.86,24724862.66,2.78,810.85,1017.6348876611955,0.7,1095.05,265.3,-1000,-1000
59017274.95,1099.86,24724862.66,2.78,810.85,1026.5237765500844,0.59,1086.38,263.85,0.38556047339294963,0.9151669722230134
59017274.95,1099.86,24724862.66,2.78,810.85,1026.5237765500844,0.73,1087.49,290.9,-1000,-1000
59017274.95,1099.86,24724862.66,2.78,810.85,1026.5237765500844,0.92,1090.27,290.51,0.492751473776312,0.9714851488251314
59017274.95,1099.86,24724862.66,2.78,810.85,1026.5237765500844,0.87,1098.29,283.48,0.48579624037383695,0.9648294789131913
59017274.95,1099.86,24724862.66,2.78,810.85,1026.5237765500844,0.5,1093.8,271.16,0.4648836093056928,1.804581279435838
59017274.95,1099.86,24724862.66,2.78,810.85,1026.5237765500844,1.05,1096.27,297.7,0.509993460911059,1.0025299661630482
59017274.95,1099.86,24724862.66,2.78,810.85,1026.5237765500844,0.68,1095.22,315.71,-1000,-1000
59017274.95,1099.86,24724862.66,2.78,810.85,1026.5237765500844,0.82,1091.39,308.16,0.45308808106156023,0.9718926455359482
59017274.95,1099.86,24724862.66,2.78,810.85,1035.4126654389734,0.94,1086.94,317.89,0.4954857012136867,0.9754074084636133
59017274.95,1099.86,24724862.66,2.78,810.85,1035.4126654389734,0.55,1089.85,277.66,0.38351521949084283,0.9053192624696169
59017274.95,1099.86,24724862.66,2.78,810.85,1035.4126654389734,1.02,1098.03,275.29,0.5191418219503845,0.9965698139738506
59017274.95,1099.86,24724862.66,2.78,810.85,1035.4126654389734,0.59,1097.79,267.75,0.42354812397638525,0.9232227039656293
59017274.95,1099.86,24724862.66,2.78,810.85,1035.4126654389734,0.69,1095.85,287.08,-1000,-1000
59017274.95,1099.86,24724862.66,2.78,810.85,1035.4126654389734,0.74,1085.24,303.65,0.5560786191864917,1.9159645325821395
59017274.95,1099.86,24724862.66,2.78,810.85,1035.4126654389734,0.87,1091.07,291.25,0.4962569252705203,0.9683958689988398
59017274.95,1099.86,24724862.66,2.78,810.85,1035.4126654389734,0.78,1093.4,305.19,0.47300949969686773,0.9567883752628853
59017274.95,1099.86,24724862.66,2.78,810.85,1044.301554327862,0.87,1093.55,275.98,0.5082879163089865,0.9826427551283413
59017274.95,1099.86,24724862.66,2.78,810.85,1044.301554327862,0.94,1089.31,298.51,0.503367879905289,0.9882669484337817
59017274.95,1099.86,24724862.66,2.78,810.85,1044.301554327862,0.76,1086.94,268.25,0.49655995878475095,0.9694180257710847
59017274.95,1099.86,24724862.66,2.78,810.85,1044.301554327862,1.03,1096.15,316.62,0.5136055266889433,1.0036612553017195
59017274.95,1099.86,24724862.66,2.78,810.85,1044.301554327862,0.79,1085.53,310.71,0.4885104250719215,0.9705334204604212
59017274.95,1099.86,24724862.66,2.78,810.85,1044.301554327862,0.54,1095.93,290.63,0.4332504479735749,0.9335101415403171
59017274.95,1099.86,24724862.66,2.78,810.85,1044.301554327862,0.68,1098.37,277.57,0.5105452065032459,0.9857671759570895
59017274.95,1099.86,24724862.66,2.78,810.85,1044.301554327862,0.64,1091.13,293.48,0.4596727269457462,0.9639248648998935
59017274.95,1099.86,24724862.66,2.78,810.85,1053.190443216751,0.8,1087.14,317.34,0.05950256373027885,1.1039899321689366
59017274.95,1099.86,24724862.66,2.78,810.85,1053.190443216751,0.87,1095.72,299.94,0.5083361376192034,0.9992732473432976
59017274.95,1099.86,24724862.66,2.78,810.85,1053.190443216751,0.99,1099.68,271.27,0.5239033185553461,1.0041270042019468
59017274.95,1099.86,24724862.66,2.78,810.85,1053.190443216751,0.63,1097.8,310.67,0.4302061823528712,1.7287571077044779
59017274.95,1099.86,24724862.66,2.78,810.85,1053.190443216751,0.55,1093.82,294.0,0.47174079516056433,0.960713764861217
59017274.95,1099.86,24724862.66,2.78,810.85,1053.190443216751,0.74,1088.94,282.28,0.5099313039671834,0.9884119764392079
59017274.95,1099.86,24724862.66,2.78,810.85,1053.190443216751,0.67,1085.67,264.16,0.5236873082841491,1.0058899408645146
59017274.95,1099.86,24724862.66,2.78,810.85,1053.190443216751,0.97,1090.64,288.93,0.5197401010883098,1.0038698244173394
59017274.95,1099.86,24724862.66,2.78,810.85,1062.0793321056399,1.0,1086.8,304.9,0.5149387586906268,1.0100076657325734
59017274.95,1099.86,24724862.66,2.78,810.85,1062.0793321056399,0.87,1091.53,298.57,0.5127552198845782,1.0086793707343398
59017274.95,1099.86,24724862.66,2.78,810.85,1062.0793321056399,0.59,1092.5,296.7,0.5381541669283237,0.9919908957254262
59017274.95,1099.86,24724862.66,2.78,810.85,1062.0793321056399,0.79,1094.8,313.75,0.5113506553047912,1.006582654055529
59017274.95,1099.86,24724862.66,2.78,810.85,1062.0793321056399,0.56,1096.2,265.54,0.5061782529307485,0.9858050415644679
59017274.95,1099.86,24724862.66,2.78,810.85,1062.0793321056399,0.66,1090.17,273.73,0.5012410097526295,0.9800702153599591
59017274.95,1099.86,24724862.66,2.78,810.85,1062.0793321056399,0.95,1086.48,286.64,0.5221472259866317,1.0098023914037604
59017274.95,1099.86,24724862.66,2.78,810.85,1062.0793321056399,0.72,1098.36,278.16,0.5208165220680435,1.0074394731662804
59017274.95,1099.86,24724862.66,2.78,810.85,1070.9682209945288,1.03,1092.85,312.6,0.5180846187405667,1.0046035486094662
59017274.95,1099.86,24724862.66,2.78,810.85,1070.9682209945288,0.51,1097.0,278.55,0.3327665056916715,0.8603631306361572
59017274.95,1099.86,24724862.66,2.78,810.85,1070.9682209945288,0.88,1089.39,309.11,0.5153337750448036,1.0112280731638066
59017274.95,1099.86,24724862.66,2.78,810.85,1070.9682209945288,0.59,1088.5,284.72,0.5261882754675762,1.005949293975273
59017274.95,1099.86,24724862.66,2.78,810.85,1070.9682209945288,0.67,1098.37,302.84,-1000,-1000
59017274.95,1099.86,24724862.66,2.78,810.85,1070.9682209945288,0.74,1095.44,273.19,0.5160214489155934,1.0028828617420622
59017274.95,1099.86,24724862.66,2.78,810.85,1070.9682209945288,0.93,1092.02,293.17,0.5229457612291782,1.0079347634640412
59017274.95,1099.86,24724862.66,2.78,810.85,1070.9682209945288,0.78,1086.45,267.37,0.5187592571384352,1.0070991990159202
59017274.95,1099.86,24724862.66,2.78,810.85,1079.8571098834177,1.01,1091.72,263.58,0.5284919877016628,1.0056297003046564
59017274.95,1099.86,24724862.66,2.78,810.85,1079.8571098834177,0.83,1088.43,280.19,0.524209802694245,1.0162150297932233
59017274.95,1099.86,24724862.66,2.78,810.85,1079.8571098834177,0.86,1094.05,289.06,0.5258848646859836,1.0093655717804857
59017274.95,1099.86,24724862.66,2.78,810.85,1079.8571098834177,0.55,1089.46,302.35,0.5221140914634099,1.0002757057075615
59017274.95,1099.86,24724862.66,2.78,810.85,1079.8571098834177,0.73,1085.54,313.16,0.0,0.0016423389036714477
59017274.95,1099.86,24724862.66,2.78,810.85,1079.8571098834177,0.65,1098.9,296.21,-1000,-1000
59017274.95,1099.86,24724862.66,2.78,810.85,1079.8571098834177,0.95,1095.16,305.76,0.5194153205468753,1.0058082947031068
59017274.95,1099.86,24724862.66,2.78,810.85,1079.8571098834177,0.61,1097.88,276.51,0.5369205513290158,0.9957817120148016
27488831.35,1250.02,24600762.45,2.81,838.66,1150.0213845011215,0.79,1246.81,312.6,0.5846041004311646,1.0856880730455882
27488831.35,1250.02,24600762.45,2.81,838.66,1150.0213845011215,0.67,1241.25,298.15,0.5796089211925572,1.0740083805207863
27488831.35,1250.02,24600762.45,2.81,838.66,1150.0213845011215,0.63,1243.07,280.19,0.5877954328340997,1.0728824442097296
27488831.35,1250.02,24600762.45,2.81,838.66,1150.0213845011215,0.91,1248.82,292.5,0.5947440139538354,1.0938242850442026
