P_net,T_in_ref_blk,p_high,PR,Pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,UA_HTR,UA_LTR,UA_PHX,UA_cooler,W_turb_des,W_comp_des,W_recomp_des,Q_HX_des,C_PB,eta_cycle_des,
10000000.0,1289.09,23046249.82,3.77,21.01,213.23,0.69,1273.29,298.86,0.4678440664244408,0.9379516147190587,1540220.6661615449,404227.2923237283,749019.8306233496,6669.924864924896,19706788.312386855,4091371.2370613543,3854827.3993591503,22882841.32875153,11736078.4510962,0.513947962449469,
10000000.0,1289.09,23046249.82,3.77,21.01,213.23,0.99,1277.0,284.98,0.5078803801286443,0.9889724921270299,1540220.6661615449,404227.2923237283,749019.8306233496,6669.924864924896,19706788.312386855,4091371.2370613543,3854827.3993591503,22882841.32875153,11736078.4510962,0.513947962449469,
10000000.0,1289.09,23046249.82,3.77,21.01,213.23,0.62,1287.68,301.11,0.42841035085356727,0.09770052029076455,1540220.6661615449,404227.2923237283,749019.8306233496,6669.924864924896,19706788.312386855,4091371.2370613543,3854827.3993591503,22882841.32875153,11736078.4510962,0.513947962449469,
10000000.0,1253.93,24961601.8,3.3,24.63,138.56,0.51,1253.79,298.0,0.48783381798522196,0.9565550053099737,1615994.502371874,455510.15599907644,417681.882777004,8951.208422325295,18342952.18458777,3329942.4871581765,3252420.0214632405,22383529.860309623,10340324.76772975,0.5254126471276623,
10000000.0,1253.93,24961601.8,3.3,24.63,138.56,0.67,1235.3,277.82,0.5058918059389552,0.9682233863501167,1615994.502371874,455510.15599907644,417681.882777004,8951.208422325295,18342952.18458777,3329942.4871581765,3252420.0214632405,22383529.860309623,10340324.76772975,0.5254126471276623,
10000000.0,1253.93,24961601.8,3.3,24.63,138.56,0.86,1247.83,303.11,0.5100260092674886,0.9865939489489233,1615994.502371874,455510.15599907644,417681.882777004,8951.208422325295,18342952.18458777,3329942.4871581765,3252420.0214632405,22383529.860309623,10340324.76772975,0.5254126471276623,
10000000.0,1253.93,24961601.8,3.3,24.63,138.56,1.04,1244.97,269.58,0.5228574028953105,0.9942070321810608,1615994.502371874,455510.15599907644,417681.882777004,8951.208422325295,18342952.18458777,3329942.4871581765,3252420.0214632405,22383529.860309623,10340324.76772975,0.5254126471276623,
10000000.0,1253.93,24961601.8,3.3,24.63,138.56,0.87,1242.26,288.29,0.5152659895750297,0.9833292471997735,1615994.502371874,455510.15599907644,417681.882777004,8951.208422325295,18342952.18458777,3329942.4871581765,3252420.0214632405,22383529.860309623,10340324.76772975,0.5254126471276623,
10000000.0,1253.93,24961601.8,3.3,24.63,138.56,0.7,1237.8,310.95,0.4995123942794225,0.972072065645296,1615994.502371874,455510.15599907644,417681.882777004,8951.208422325295,18342952.18458777,3329942.4871581765,3252420.0214632405,22383529.860309623,10340324.76772975,0.5254126471276623,
10000000.0,1210.6,21786333.12,3.66,25.69,297.78,0.83,1194.31,315.7,0.39294089362713647,1.0091820168465786,1533393.8121461459,574302.8941540751,425680.5904819122,9608.011829516325,23012339.100922737,5838635.7146925945,5413113.7102637915,27532405.18861143,14316740.138804441,0.42715446018610215,
10000000.0,1210.6,21786333.12,3.66,25.69,297.78,0.89,1204.46,299.54,0.40893426316499143,1.0157629036794242,1533393.8121461459,574302.8941540751,425680.5904819122,9608.011829516325,23012339.100922737,5838635.7146925945,5413113.7102637915,27532405.18861143,14316740.138804441,0.42715446018610215,
10000000.0,1210.6,21786333.12,3.66,25.69,297.78,0.69,1200.8,274.24,0.3608956840939514,0.9803131899931317,1533393.8121461459,574302.8941540751,425680.5904819122,9608.011829516325,23012339.100922737,5838635.7146925945,5413113.7102637915,27532405.18861143,14316740.138804441,0.42715446018610215,
10000000.0,1210.6,21786333.12,3.66,25.69,297.78,0.65,1192.01,301.21,-0.0,-0.0006200640436055603,1533393.8121461459,574302.8941540751,425680.5904819122,9608.011829516325,23012339.100922737,5838635.7146925945,5413113.7102637915,27532405.18861143,14316740.138804441,0.42715446018610215,
10000000.0,1210.6,21786333.12,3.66,25.69,297.78,0.98,1199.83,269.66,0.4225114515011875,1.005168098729006,1533393.8121461459,574302.8941540751,425680.5904819122,9608.011829516325,23012339.100922737,5838635.7146925945,5413113.7102637915,27532405.18861143,14316740.138804441,0.42715446018610215,
10000000.0,1210.6,21786333.12,3.66,25.69,297.78,0.57,1209.79,283.84,0.2969928767571935,0.9488249927810593,1533393.8121461459,574302.8941540751,425680.5904819122,9608.011829516325,23012339.100922737,5838635.7146925945,5413113.7102637915,27532405.18861143,14316740.138804441,0.42715446018610215,
10000000.0,1280.65,21477638.44,3.88,19.81,264.87,0.57,1268.51,303.61,0.37154070595313593,0.9441207679654035,1556062.459649847,442562.8944989858,664621.4439273459,7031.955053169223,21182752.732696243,4874479.944406591,4547683.112323295,24500793.348849062,13071239.092468057,0.48000852496961355,
10000000.0,1280.65,21477638.44,3.88,19.81,264.87,0.71,1264.71,280.98,0.4281481487187047,0.947237694042018,1556062.459649847,442562.8944989858,664621.4439273459,7031.955053169223,21182752.732696243,4874479.944406591,4547683.112323295,24500793.348849062,13071239.092468057,0.48000852496961355,
10000000.0,1280.65,21477638.44,3.88,19.81,264.87,0.62,1274.81,287.31,0.40688252942228736,0.9560063953238223,1556062.459649847,442562.8944989858,664621.4439273459,7031.955053169223,21182752.732696243,4874479.944406591,4547683.112323295,24500793.348849062,13071239.092468057,0.48000852496961355,
10000000.0,1280.65,21477638.44,3.88,19.81,264.87,0.96,1261.78,312.16,0.459241588009497,0.9799534927163202,1556062.459649847,442562.8944989858,664621.4439273459,7031.955053169223,21182752.732696243,4874479.944406591,4547683.112323295,24500793.348849062,13071239.092468057,0.48000852496961355,
