P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_Q,eta_gross,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1176.26,309.12,0.9907473216958953,0.41817349612439164,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1176.26,323.15,0.9907473216958953,0.41817349612439164,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1171.26,253.0,0.9930559927677364,0.424344945203679,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1171.26,267.03,0.9930559927677364,0.4243447666516053,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1171.26,281.06,0.9930559927677364,0.4243192447745339,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1171.26,295.09,0.9930559927677364,0.42067119859957425,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1171.26,309.12,0.9930559927677364,0.4165128709373807,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1171.26,323.15,0.9930559927677364,0.4165128709373807,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1196.26,253.0,0.9882424056470214,0.44389059303184536,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1196.26,267.03,0.9882424056470214,0.44389041361007014,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1196.26,281.06,0.9882424056470214,0.4438647674195934,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1196.26,295.09,0.9882424056470214,0.44019895213456195,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1196.26,309.12,0.9882424056470214,0.436020369854307,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1196.26,323.15,0.9882424056470214,0.436020369854307,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1191.26,253.0,0.9878196936607695,0.44202017662471976,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1191.26,267.03,0.9878196936607695,0.4420199971261656,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1191.26,281.06,0.9878196936607695,0.4419943399610624,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1191.26,295.09,0.9878196936607695,0.43832695598483123,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1191.26,309.12,0.9878196936607695,0.43414658558795266,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1191.26,323.15,0.9878196936607695,0.43414658558795266,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1186.26,253.0,0.9873139142723399,0.4401245147349258,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1186.26,267.03,0.9873139142723399,0.44012433514441845,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1186.26,281.06,0.9873139142723399,0.44009866483570914,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1186.26,295.09,0.9873139142723399,0.4364294021386397,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1186.26,309.12,0.9873139142723399,0.432246890229166,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1186.26,323.15,0.9873139142723399,0.432246890229166,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1181.26,253.0,0.9867270957439482,0.43820336866315157,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1181.26,267.03,0.9867270957439482,0.4382031889658397,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1181.26,281.06,0.9867270957439482,0.43817750339068745,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1181.26,295.09,0.9867270957439482,0.4345060585387493,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1181.26,309.12,0.9867270957439482,0.4303210592388974,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1181.26,323.15,0.9867270957439482,0.4303210592388974,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1176.26,253.0,0.986105836854848,0.4362618045844495,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1176.26,267.03,0.986105836854848,0.436261624773926,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1176.26,281.06,0.986105836854848,0.4362359230165434,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1176.26,295.09,0.986105836854848,0.4325621651088814,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1176.26,309.12,0.986105836854848,0.42837452920764396,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1176.26,323.15,0.986105836854848,0.42837452920764396,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1171.26,253.0,0.9854010392425528,0.4342956953407668,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1171.26,267.03,0.9854010392425528,0.4342955154016357,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1171.26,281.06,0.9854010392425528,0.4342697952613445,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1171.26,295.09,0.9854010392425528,0.4305934097374143,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1171.26,309.12,0.9854010392425528,0.4264027786741394,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.72,1171.26,323.15,0.9854010392425528,0.4264027786741394,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1196.26,253.0,0.9913708827894975,0.45042754692147574,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1196.26,267.03,0.9913708827894975,0.4504273680659034,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1196.26,281.06,0.9913708827894975,0.450401802807318,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1196.26,295.09,0.9913708827894975,0.44674755576533964,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1196.26,309.12,0.9913708827894975,0.4425821598711069,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1196.26,323.15,0.9913708827894975,0.4425821598711069,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1191.26,253.0,0.9897767710800637,0.44850072505098754,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1191.26,267.03,0.9897767710800637,0.4485005459073543,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1191.26,281.06,0.9897767710800637,0.4484749394739515,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1191.26,295.09,0.9897767710800637,0.4448148069857097,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1191.26,309.12,0.9897767710800637,0.4406427024006254,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1191.26,323.15,0.9897767710800637,0.4406427024006254,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1186.26,253.0,0.9888431639548453,0.44673964558746376,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1186.26,267.03,0.9888431639548453,0.4467394662746938,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1186.26,281.06,0.9888431639548453,0.4467138356652137,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1186.26,295.09,0.9888431639548453,0.443050247496744,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1186.26,309.12,0.9888431639548453,0.43887420385771275,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1186.26,323.15,0.9888431639548453,0.43887420385771275,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1181.26,253.0,0.9884463809054068,0.44494522357071853,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1181.26,267.03,0.9884463809054068,0.44494504418596853,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1181.26,281.06,0.9884463809054068,0.44491940328782587,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1181.26,295.09,0.9884463809054068,0.4412543444784458,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1181.26,309.12,0.9884463809054068,0.43707662448816115,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1181.26,323.15,0.9884463809054068,0.43707662448816115,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1176.26,253.0,0.988078990659878,0.4431295966343016,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1176.26,267.03,0.988078990659878,0.4431294171828526,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1176.26,281.06,0.988078990659878,0.44310376675084046,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1176.26,295.09,0.988078990659878,0.43943734518922256,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1176.26,309.12,0.988078990659878,0.4352580718276106,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1176.26,323.15,0.988078990659878,0.4352580718276106,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1171.26,253.0,0.9876331077631942,0.441285751010939,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1171.26,267.03,0.9876331077631942,0.4412855714784736,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1171.26,281.06,0.9876331077631942,0.4412599094661603,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1171.26,295.09,0.9876331077631942,0.43759183263939017,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1171.26,309.12,0.9876331077631942,0.433410672477409,
