P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_Q,eta_gross,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1171.26,281.06,0.9904235198327573,0.39946163543015484,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1171.26,295.09,0.9904235198327573,0.39173759282618487,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1171.26,309.12,0.9904235198327573,0.39173759282618487,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1171.26,323.15,0.9904235198327573,0.39173759282618487,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1196.26,253.0,0.9848822469242999,0.43295962684278494,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1196.26,267.03,0.9848822469242999,0.43295872667320995,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1196.26,281.06,0.9848822469242999,0.432830058230604,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1196.26,295.09,0.9848822469242999,0.42506255761106027,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1196.26,309.12,0.9848822469242999,0.42506255761106027,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1196.26,323.15,0.9848822469242999,0.42506255761106027,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1191.26,253.0,0.98423602008101,0.4308829798904953,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1191.26,267.03,0.98423602008101,0.4308820791298896,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1191.26,281.06,0.98423602008101,0.4307533262065292,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1191.26,295.09,0.98423602008101,0.4229807256238636,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1191.26,309.12,0.98423602008101,0.4229807256238636,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1191.26,323.15,0.98423602008101,0.4229807256238636,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1186.26,253.0,0.9860604746311905,0.4291933508165536,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1186.26,267.03,0.9860604746311905,0.42919245172257664,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1186.26,281.06,0.9860604746311905,0.4290639370238109,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1186.26,295.09,0.9860604746311905,0.42130571766508096,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1186.26,309.12,0.9860604746311905,0.42130571766508096,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1186.26,323.15,0.9860604746311905,0.42130571766508096,
