P_net,T_in_ref_blk,p_high,PR,delta,dTemp_particle_PHX,load,T_HTF_in,T_amb_input,pinch_PHX,eta_gross,eta_cycle,UA_HTR,UA_LTR,UA_HX,W_turb_des,W_comp_des,W_recomp_des,UA_cooler,Q_HX_des,delta_temp_particle_HX,C_PB,
10000000.0,1158.82,24379151.02,3.51,106.06,282.955669719,0.74,1139.57,316.22,10.339999999987754,0.39318315505207396,0.9617335419557416,0.40139831497176093,21379621.684341677,5001420.401430418,4617611.606944907,2693333.2878595544,932512.8098049951,591420.0425436317,10833.921721634686,25313908.77318067,15011712.046898602,
50000000.0,1456.9,24083786.79,3.26,73.16,297.5650331185,0.51,1434.01,316.32,14.92999999946619,0.4780489355181411,0.8057568763267421,0.4908902938153185,84042405.38452752,13141795.965797162,12097661.038898598,12182579.72137958,2880556.8798576468,2338697.160612048,35610.264230500805,96646251.84356935,35393411.11760736,
50000000.0,1456.9,24083786.79,3.26,73.16,297.5650331185,0.9,1422.36,275.76,14.92999999946619,0.5861785526792848,0.9532759622238856,0.5861840171528441,84042405.38452752,13141795.965797162,12097661.038898598,12182579.72137958,2880556.8798576468,2338697.160612048,35610.264230500805,96646251.84356935,35393411.11760736,
50000000.0,1456.9,24083786.79,3.26,73.16,297.5650331185,0.71,1438.41,289.61,14.92999999946619,0.5602890186455819,0.9046340244331879,0.5610613292082093,84042405.38452752,13141795.965797162,12097661.038898598,12182579.72137958,2880556.8798576468,2338697.160612048,35610.264230500805,96646251.84356935,35393411.11760736,
50000000.0,1276.53,24698055.23,3.93,54.34,255.4128460907,0.51,1250.95,314.43,23.269999999661195,0.35636029958637727,0.9082654561567137,0.3658849164867294,102178267.1127117,22485893.69523101,20889425.037648927,13422828.247233614,3444903.2567755915,3020120.395729893,36823.60002008782,115595169.58007614,41775333.877545066,
50000000.0,1276.53,24698055.23,3.93,54.34,255.4128460907,0.76,1238.4,267.77,23.269999999661195,0.4603310107340166,0.9610411927275206,0.46033127922316086,102178267.1127117,22485893.69523101,20889425.037648927,13422828.247233614,3444903.2567755915,3020120.395729893,36823.60002008782,115595169.58007614,41775333.877545066,
50000000.0,1276.53,24698055.23,3.93,54.34,255.4128460907,0.96,1246.03,285.16,23.269999999661195,0.49126949483466475,0.979031935305748,0.4913931320028725,102178267.1127117,22485893.69523101,20889425.037648927,13422828.247233614,3444903.2567755915,3020120.395729893,36823.60002008782,115595169.58007614,41775333.877545066,
50000000.0,1070.74,24848502.32,2.83,32.71,186.5195768369,1.05,1035.15,297.3,20.969999999876904,0.49550529164976526,0.9777046214920729,0.5045474945862969,85796882.87197597,13592985.206354443,13400949.285789767,11438206.752488328,6744805.685405236,4226711.351280039,103310.21736180896,113114448.43593375,38356649.70226797,
50000000.0,1070.74,24848502.32,2.83,32.71,186.5195768369,0.69,1048.34,271.31,20.969999999876904,0.4754767130813622,0.9534290266027707,0.47547768042598226,85796882.87197597,13592985.206354443,13400949.285789767,11438206.752488328,6744805.685405236,4226711.351280039,103310.21736180896,113114448.43593375,38356649.70226797,
50000000.0,1070.74,24848502.32,2.83,32.71,186.5195768369,0.63,1041.43,308.64,20.969999999876904,0.4517488275746115,0.9569502488255954,0.4609871381454752,85796882.87197597,13592985.206354443,13400949.285789767,11438206.752488328,6744805.685405236,4226711.351280039,103310.21736180896,113114448.43593375,38356649.70226797,
