Name,Rating,NumberOfUser,Address,lat,lon
Nasgor Budi,5.0,1,"Jl. Danau Toba No.85, RT.13/RW.3, Bend. Hilir, Kota Jakarta Pusat",-6.2083945,106.8095696
Nasgor Bumen Jaya (Gerobak),4.6,24,"Jl. Pejompongan Raya No.3, RT.7/RW.6, Bend. Hilir, Kota Jakarta Pusat",-6.2042418,106.8054971
Nasi Goreng & Bakmi Jawa BUMEN JAYA I,4.0,2,"Jl. Pejompongan Raya No.6, RT.4/RW.6, Bend. Hilir, Kota Jakarta Pusat",-6.203282,106.80271
Love Eat Cafe,4.3,173,"Jl. Penjernihan II No.04, RT.11/RW.6, Bend. Hilir, Kota Jakarta Pusat",-6.2050312,106.8092894
"Nasi Goreng ""Al Hidayah""",0.0,0,"Gelora, Central Jakarta City",-6.208409,106.7967385
Nasi Goreng Comal Pak Muji ManggalaWanabakti,4.0,8,"1, RT.1/RW.3, Gelora, Kota Jakarta Pusat",-6.2066287,106.7982814
Kantin MPR DPR,4.0,7,"RT.1/RW.3, Gelora, Central Jakarta City",-6.2076671,106.7988796
Nasi Goreng Mas Boy,4.8,4,"Jl. Palmerah Barat II No.3, RT.1/RW.14, Palmerah, Kota Jakarta Barat",-6.205703,106.789928
NASI GORENG pugag tunggal jaya,4.4,52,"Jl. Kemandoran I No.25, RT.5/RW.16, Grogol Utara, Kota Jakarta Selatan",-6.2119751,106.7904926
Nasi Goreng Padang(PIAMAN LAWEH),4.5,2,"Jl. Kemandoran Pluis, RT.6/RW.14, Grogol Utara, Kota Jakarta Selatan",-6.2104133,106.7922516
Nasi Goreng 'Mas Makmun' Jaya Abadi,4.5,41,"No., Jl. Pulo Mawar No.79A, RT.1/RW.4, Grogol Utara, Kota Jakarta Selatan",-6.211926000000001,106.789963
Nasi Goreng Smm,3.0,1,"Jl. Palmerah Bar. IX No.63, RT.8/RW.9, Palmerah, Kota Jakarta Barat",-6.2043567,106.7875935
Nasi Goreng Ridwan,4.6,33,"Jl. Kemanggisan Pulo No.4, RT.7/RW.17, Palmerah, Kota Jakarta Barat",-6.20193,106.7894112
Nasi Goreng MaxSinta,5.0,1,"Pulo Melati 6 No.15, RT.3/RW.16, Grogol Utara, Kota Jakarta Selatan",-6.2120431,106.7913208
NASI KEBULI GORENG BABA,5.0,2,"RT.3/RW.11, North Grogol, South Jakarta City",-6.2101582,106.787743
Nasi goreng mas decon,5.0,2,"Jl. Sandang, RT.1/RW.11, Palmerah, Kota Jakarta Barat",-6.2017939,106.7877267
Nasi Goreng Tia,4.5,24,"Jalan U No.30, Palmerah, RT.7/RW.12, Palmerah, Kota Jakarta Barat",-6.2011835,106.7849237
Nasi Goreng Ortega,5.0,7,"Jl. U No.1, RT.1/RW.11, Palmerah, Kota Jakarta Barat",-6.2021031,106.7850799
Nasi Goreng Tip Top,4.3,71,"No., Jl. Kemanggisan Raya No.23, RT.2/RW.11, Palmerah, Kota Jakarta Barat",-6.200838099999999,106.7875843
Nasi Goreng,4.0,1,"Jl. Palmerah Barat No.49c, RT.1/RW.15, Palmerah, Kota Jakarta Barat",-6.2066786,106.7848701
Nasi Goreng Padang Gunuang Sejati,5.0,1,"Jl. Kyai H. Syahdan No.4E, RT.2/RW.11, Palmerah, Kota Jakarta Barat",-6.2013228,106.7879767
Nasi Goreng Tip Top,4.1,7,"23-, Jl. U No.27, RT.9/RW.15, Palmerah, Kota Jakarta Barat",-6.202392,106.784229
NASI GORENG PETER DAN MIESO PAK TRI SOLO,0.0,0,"jl pintu satu samping fx gbk senayan, Jl. Kemandoran VIII, RT.3/RW.11, Kby. Lama Sel., Kota Jakarta Selatan",-6.2109643,106.7850505
Warung Nasi Goreng Citra Sunda,5.0,1,"Jl. Tanah Baru I No.9, RT.6/RW.13, Grogol Utara, Kota Jakarta Selatan",-6.2134566,106.786188
Nasi Goreng Indomaret Kemandoran 1,5.0,1,"Jl. Kemandoran I No.13, RT.2/RW.3, Grogol Utara, Kota Jakarta Selatan",-6.2133066,106.7907656
