country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,cloudopacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Pw Units,Relative humidity Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Indonesia,Solcast https://solcast.com,N/A,7,-6.2088,106.8456,10,deg.C,degree,%,deg.C,W/m2,W/m2,W/m2,W/m2,cm,%,cm,mbar,Degrees,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,cloudopacity,Dew Point,DHI,DNI,EBH,GHI,Pw,Relative humidity,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2008,1,5,1,0,24.9,-114,13.6,22.2,278,327,189,467,44.1,84.9,0,981.5,266,4.6,52,,
2008,1,5,2,0,25.7,-120,21.9,21.9,393,245,188,581,44.9,79.7,0,981.8,273,5,39,,
2008,1,5,3,0,26.1,-133,22,21.9,454,267,238,692,45.5,77.8,0,981.5,277,5.2,27,,
2008,1,5,4,0,26.3,-162,6.7,22.2,303,630,599,902,46,78.2,0,980.9,278,5.2,19,,
2008,1,5,5,0,26.3,157,7.2,22.4,297,638,602,900,46.5,79,0,980.2,279,5.2,20,,
2008,1,5,6,0,26.2,131,45,22.6,334,183,170,504,46.9,80.8,0,979.7,277,5.1,28,,
2008,1,5,7,0,25.8,119,62,22.8,283,12,9,292,47.3,83.2,0,979.4,274,5,41,,
2008,1,5,8,0,25.5,114,59.1,22.9,221,23,11,232,47.7,85.8,0,979,270,4.9,54,,
2008,1,5,9,0,25.4,112,30,23,158,212,68,226,47.5,86.8,0,979.2,266,4.5,68,,
2008,1,5,10,0,25.5,112,5.5,23.1,58,276,60,118,46.9,86.6,0,979.8,262,3.9,81,,
2008,1,5,11,0,25.6,114,0,23.2,7,81,14,21,46.3,86.2,0,980.3,257,3.3,95,,
2008,1,5,12,0,25.3,117,0,23,0,0,0,0,45.6,86.8,0,981,253,2.9,109,,
