P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,T_high,load,T_HTF_in_K,T_amb_input_K,eta_gross,eta_Q
128052133.07,1171.23,24430843.61,2.9,848.75,1089.0074703171676,1.05,1166.18,278.78,0.550462794985,1.0230731861
128052133.07,1171.23,24430843.61,2.9,848.75,1089.0074703171676,0.81,1163.27,317.88,0.53631741598,1.0157418237
128052133.07,1171.23,24430843.61,2.9,848.75,1089.0074703171676,0.94,1164.93,300.63,0.539173631531,1.01960722674
128052133.07,1171.23,24430843.61,2.9,848.75,1089.0074703171676,0.67,1158.17,304.58,0.532769908451,1.0107693591
128052133.07,1171.23,24430843.61,2.9,848.75,1089.0074703171676,0.77,1167.5,291.12,0.544603344485,1.01683354188
128052133.07,1171.23,24430843.61,2.9,848.75,1089.0074703171676,0.86,1160.25,264.73,0.544867348564,1.01549799192
128052133.07,1171.23,24430843.61,2.9,848.75,1097.8963592060566,0.8,1169.54,264.81,0.550043749135,1.02321510475
128052133.07,1171.23,24430843.61,2.9,848.75,1097.8963592060566,0.61,1164.02,279.91,0.544912864179,1.01623280884
128052133.07,1171.23,24430843.61,2.9,848.75,1097.8963592060566,0.93,1160.6,275.62,0.549804848376,1.02290485321
128052133.07,1171.23,24430843.61,2.9,848.75,1097.8963592060566,0.71,1159.18,311.61,0.536179772882,1.0162413672
128052133.07,1171.23,24430843.61,2.9,848.75,1097.8963592060566,0.68,1157.57,286.13,0.543668421878,1.01473882314
128052133.07,1171.23,24430843.61,2.9,848.75,1097.8963592060566,0.53,1162.61,297.32,0.534694406446,1.0141625172
128052133.07,1171.23,24430843.61,2.9,848.75,1097.8963592060566,0.91,1169.0,305.86,0.543432054672,1.02591690599
128052133.07,1171.23,24430843.61,2.9,848.75,1097.8963592060566,1.0,1165.66,300.23,0.544266141922,1.02712975097
128052133.07,1171.23,24430843.61,2.9,848.75,1106.7852480949455,0.67,1169.45,309.81,0.541638555354,1.02211671422
128052133.07,1171.23,24430843.61,2.9,848.75,1106.7852480949455,1.02,1167.49,295.43,0.55188449033,1.03262387383
128052133.07,1171.23,24430843.61,2.9,848.75,1106.7852480949455,0.55,1157.6,282.2,0.543984725794,1.01334011589
128052133.07,1171.23,24430843.61,2.9,848.75,1106.7852480949455,0.92,1160.15,317.74,0.544242918535,1.02549024675
128052133.07,1171.23,24430843.61,2.9,848.75,1106.7852480949455,0.89,1158.52,275.25,0.551761028013,1.02392172074
128052133.07,1171.23,24430843.61,2.9,848.75,1106.7852480949455,0.59,1167.4,284.87,0.547938924899,1.018972504
128052133.07,1171.23,24430843.61,2.9,848.75,1106.7852480949455,0.84,1163.68,299.95,0.543584311025,1.02464828785
128052133.07,1171.23,24430843.61,2.9,848.75,1106.7852480949455,0.76,1165.35,267.3,0.55105398499,1.02298670384
128052133.07,1171.23,24430843.61,2.9,848.75,1115.6741369838342,0.57,1166.87,279.56,0.549998944458,1.02005586626
128052133.07,1171.23,24430843.61,2.9,848.75,1115.6741369838342,0.64,1170.23,306.39,0.544081642083,1.02384135772
128052133.07,1171.23,24430843.61,2.9,848.75,1115.6741369838342,0.83,1169.14,265.98,0.557247460249,1.03051586651
128052133.07,1171.23,24430843.61,2.9,848.75,1115.6741369838342,1.03,1157.87,276.59,0.558114704919,1.03189015281
128052133.07,1171.23,24430843.61,2.9,848.75,1115.6741369838342,0.71,1159.6,290.59,0.550128653073,1.02157943739
128052133.07,1171.23,24430843.61,2.9,848.75,1115.6741369838342,0.89,1161.87,314.4,0.547576504794,1.02905624317
128052133.07,1171.23,24430843.61,2.9,848.75,1115.6741369838342,0.92,1160.27,293.96,0.553135121488,1.02932823852
128052133.07,1171.23,24430843.61,2.9,848.75,1115.6741369838342,0.5,1164.38,303.24,0.538680965303,1.01666049687
128052133.07,1171.23,24430843.61,2.9,848.75,1124.563025872723,0.93,1170.94,285.96,0.564574876682,1.04426817296
128052133.07,1171.23,24430843.61,2.9,848.75,1124.563025872723,0.66,1167.08,297.89,0.546635772842,1.02611376468
128052133.07,1171.23,24430843.61,2.9,848.75,1124.563025872723,0.83,1158.45,304.74,0.548409491652,1.028902658
128052133.07,1171.23,24430843.61,2.9,848.75,1124.563025872723,0.87,1163.62,280.59,0.560047374794,1.034039731
128052133.07,1171.23,24430843.61,2.9,848.75,1124.563025872723,0.73,1165.09,313.88,0.547955047365,1.02819178958
128052133.07,1171.23,24430843.61,2.9,848.75,1124.563025872723,0.63,1160.97,295.7,0.546272012262,1.02207873914
128052133.07,1171.23,24430843.61,2.9,848.75,1124.563025872723,1.0,1167.48,271.94,0.565301567249,1.04542333981
128052133.07,1171.23,24430843.61,2.9,848.75,1124.563025872723,0.5,1157.84,266.93,0.547650216257,1.01534008431
128052133.07,1171.23,24430843.61,2.9,848.75,1133.451914761612,0.62,1168.1,302.13,0.54889727954,1.02837757813
128052133.07,1171.23,24430843.61,2.9,848.75,1133.451914761612,1.03,1157.47,293.84,0.563007177069,1.04559995813
128052133.07,1171.23,24430843.61,2.9,848.75,1133.451914761612,0.52,1160.89,271.05,0.551989743147,1.02001017519
128052133.07,1171.23,24430843.61,2.9,848.75,1133.451914761612,0.69,1169.66,264.25,0.560599982879,1.03340585848
128052133.07,1171.23,24430843.61,2.9,848.75,1133.451914761612,0.84,1159.18,287.89,0.561122241443,1.03540366642
128052133.07,1171.23,24430843.61,2.9,848.75,1133.451914761612,0.95,1163.54,281.3,0.566505199683,1.04631785991
128052133.07,1171.23,24430843.61,2.9,848.75,1133.451914761612,0.86,1164.06,305.2,0.55540206943,1.04110635511
128052133.07,1171.23,24430843.61,2.9,848.75,1133.451914761612,0.74,1166.37,317.37,0.55229472146,1.034471441
128052133.07,1171.23,24430843.61,2.9,848.75,1142.340803650501,0.76,1160.4,287.82,0.56311415137,1.03812548583
128052133.07,1171.23,24430843.61,2.9,848.75,1142.340803650501,0.57,1165.47,290.8,0.557193319138,1.02803361752
128052133.07,1171.23,24430843.61,2.9,848.75,1142.340803650501,0.83,1167.47,316.64,0.560014329598,1.04942423711
128052133.07,1171.23,24430843.61,2.9,848.75,1142.340803650501,0.63,1156.4,299.34,0.548505249247,1.0265825046
128052133.07,1171.23,24430843.61,2.9,848.75,1142.340803650501,0.64,1163.67,274.66,0.560169414239,1.03098218711
128052133.07,1171.23,24430843.61,2.9,848.75,1142.340803650501,0.94,1158.63,305.14,0.559722315529,1.04880605057
128052133.07,1171.23,24430843.61,2.9,848.75,1142.340803650501,0.9,1170.3,266.82,0.571922072847,1.05628672081
128052133.07,1171.23,24430843.61,2.9,848.75,1142.340803650501,0.98,1167.95,282.95,0.573073281055,1.05888694072
128052133.07,1171.23,24430843.61,2.9,848.75,1151.2296925393898,0.71,1165.41,265.67,0.567832792025,1.0445648962
128052133.07,1171.23,24430843.61,2.9,848.75,1151.2296925393898,0.73,1167.04,290.01,0.568423208077,1.04762802933
128052133.07,1171.23,24430843.61,2.9,848.75,1151.2296925393898,0.5,1163.49,308.54,0.548923053688,1.02468750261
128052133.07,1171.23,24430843.61,2.9,848.75,1151.2296925393898,1.02,1167.55,270.64,0.577933668101,1.06640156617
128052133.07,1171.23,24430843.61,2.9,848.75,1151.2296925393898,0.57,1156.25,280.22,0.558339376058,1.02544749338
128052133.07,1171.23,24430843.61,2.9,848.75,1151.2296925393898,0.8,1161.81,294.16,0.566021095278,1.04844647341
128052133.07,1171.23,24430843.61,2.9,848.75,1151.2296925393898,0.88,1170.52,301.26,0.566853148125,1.06099141367
128052133.07,1171.23,24430843.61,2.9,848.75,1151.2296925393898,0.94,1158.31,314.12,0.563694803071,1.05438639869
117761749.9,1179.72,24749912.04,2.75,816.27,1079.7227035209455,0.82,1170.93,294.64,0.55355087834,1.0081478811
117761749.9,1179.72,24749912.04,2.75,816.27,1079.7227035209455,0.87,1175.64,314.0,0.550822901578,1.01047208274
117761749.9,1179.72,24749912.04,2.75,816.27,1079.7227035209455,0.66,1172.91,278.98,0.557696261838,1.00784821281
117761749.9,1179.72,24749912.04,2.75,816.27,1079.7227035209455,1.05,1177.58,301.24,0.55355880447,1.01409853032
117761749.9,1179.72,24749912.04,2.75,816.27,1079.7227035209455,0.54,1165.95,272.5,0.555368095577,1.00481253123
117761749.9,1179.72,24749912.04,2.75,816.27,1079.7227035209455,0.73,1178.77,307.74,0.550775940636,1.01041451112
117761749.9,1179.72,24749912.04,2.75,816.27,1079.7227035209455,0.63,1169.86,264.8,0.556704655278,1.00655293488
117761749.9,1179.72,24749912.04,2.75,816.27,1079.7227035209455,0.96,1168.3,284.88,0.55837250881,1.00886043154
117761749.9,1179.72,24749912.04,2.75,816.27,1088.6115924098344,0.85,1166.81,300.11,0.550758258349,1.01366733565
117761749.9,1179.72,24749912.04,2.75,816.27,1088.6115924098344,0.98,1170.96,310.79,0.554075634855,1.01800211608
117761749.9,1179.72,24749912.04,2.75,816.27,1088.6115924098344,0.72,1177.22,267.47,0.561244406754,1.01552679867
117761749.9,1179.72,24749912.04,2.75,816.27,1088.6115924098344,0.82,1170.34,275.58,0.560398378939,1.0144951266
117761749.9,1179.72,24749912.04,2.75,816.27,1088.6115924098344,0.65,1172.35,277.42,0.559040470009,1.01280630501
117761749.9,1179.72,24749912.04,2.75,816.27,1088.6115924098344,1.04,1179.13,288.52,0.565940977256,1.02318779359
117761749.9,1179.72,24749912.04,2.75,816.27,1088.6115924098344,0.5,1174.97,314.71,0.549888039535,1.01258604476
117761749.9,1179.72,24749912.04,2.75,816.27,1088.6115924098344,0.62,1165.06,295.38,0.550810649403,1.00957827093
117761749.9,1179.72,24749912.04,2.75,816.27,1097.5004812987233,0.73,1169.21,280.1,0.561364772424,1.01690354951
117761749.9,1179.72,24749912.04,2.75,816.27,1097.5004812987233,0.97,1172.55,283.99,0.566530437409,1.02451788385
117761749.9,1179.72,24749912.04,2.75,816.27,1097.5004812987233,1.03,1166.26,308.42,0.55687483596,1.02327882199
117761749.9,1179.72,24749912.04,2.75,816.27,1097.5004812987233,0.8,1177.13,266.53,0.564996745595,1.02205774489
117761749.9,1179.72,24749912.04,2.75,816.27,1097.5004812987233,0.66,1166.83,299.5,0.550526545492,1.014589067
117761749.9,1179.72,24749912.04,2.75,816.27,1097.5004812987233,0.62,1171.88,293.79,0.557264893852,1.0158278318
