P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,load,T_HTF_in_K,T_amb_input_K,eta_gross,eta_Q
62450501.1274,1165.01891802,24617721.014,2.83211515918,806.603007656,0.5060954514956143,1079.6170224448028,267.9714787639363,0.243173310624,0.838757694676
16454945.9556,1199.72548629,24808484.2438,2.95119447589,823.485391314,0.713069302943545,1123.0280669021313,284.55142741465045,0.435529046444,0.988941921643
16454945.9556,1199.72548629,24808484.2438,2.95119447589,823.485391314,0.9327297333130407,1178.6613182558892,317.2410384060941,0.494463576484,1.03198620305
16454945.9556,1199.72548629,24808484.2438,2.95119447589,823.485391314,0.8597292749224238,1162.3659349633913,287.5831533073044,0.484208588112,1.00761510716
16454945.9556,1199.72548629,24808484.2438,2.95119447589,823.485391314,0.7811656081938436,1193.0514586014262,293.4879501918742,0.482399479148,1.00854017382
16454945.9556,1199.72548629,24808484.2438,2.95119447589,823.485391314,1.002401016763448,1169.8524587499119,273.811166120077,0.504723492086,1.03095196265
16454945.9556,1199.72548629,24808484.2438,2.95119447589,823.485391314,0.9902082320197737,1107.228382207082,309.9045839139514,0.467923185748,1.00044186303
16454945.9556,1199.72548629,24808484.2438,2.95119447589,823.485391314,0.5135879550300717,1133.1449376817222,276.55245261819374,0.331255359642,0.911714054913
16454945.9556,1199.72548629,24808484.2438,2.95119447589,823.485391314,0.5584122817303837,1086.8230042927687,267.04960274876373,0.322539372212,0.905309483309
16454945.9556,1199.72548629,24808484.2438,2.95119447589,823.485391314,0.6521314951043792,1143.9446783012295,300.2008956839554,0.418866725674,0.979486205744
16454945.9556,1199.72548629,24808484.2438,2.95119447589,823.485391314,0.7314052322802962,1098.2081728432806,305.12501252972373,0.416301659183,0.976837208567
95660530.5068,1081.38815065,24235307.2073,2.95641218746,835.008052765,0.5088269365455992,987.046232594316,280.72737549753566,0.13914666404,0.775847084172
95660530.5068,1081.38815065,24235307.2073,2.95641218746,835.008052765,0.5798309508130666,1004.7280182283711,293.8461373678043,0.244641568433,0.858227096853
95660530.5068,1081.38815065,24235307.2073,2.95641218746,835.008052765,0.7189148602248593,1038.0746054191807,296.7957032458975,0.366137961111,0.955338727231
95660530.5068,1081.38815065,24235307.2073,2.95641218746,835.008052765,0.966476888977087,1017.9707757373562,287.0819640074037,0.42136778756,0.982169112556
95660530.5068,1081.38815065,24235307.2073,2.95641218746,835.008052765,0.8016023062926725,1078.460326675789,312.22488191481125,0.421686023993,0.991254727875
95660530.5068,1081.38815065,24235307.2073,2.95641218746,835.008052765,0.9255675546665207,1039.6618714089489,317.48220119364356,0.421696727728,0.991266829586
95660530.5068,1081.38815065,24235307.2073,2.95641218746,835.008052765,0.7273638357945258,974.7051373429659,263.7274214943023,0.313490598909,0.905354792953
95660530.5068,1081.38815065,24235307.2073,2.95641218746,835.008052765,0.8502121598417464,1061.345035634828,269.2365568831669,0.429442274687,0.990921386869
95660530.5068,1081.38815065,24235307.2073,2.95641218746,835.008052765,1.0426446958812612,1055.8825887507937,302.2273581314596,0.443358408907,0.992461321591
95660530.5068,1081.38815065,24235307.2073,2.95641218746,835.008052765,0.647060577987782,1012.8023861431305,278.57386078646124,0.311504960013,0.903995760461
110836066.123,1153.81368719,24874915.2707,2.9234528708,822.253700508,0.5844272048130805,1152.1070299232415,299.4414164297552,0.394944225937,0.959496342165
110836066.123,1153.81368719,24874915.2707,2.9234528708,822.253700508,0.9387112545762043,1108.251280160665,309.9824861509954,0.465469751275,0.995490087091
110836066.123,1153.81368719,24874915.2707,2.9234528708,822.253700508,0.8708661509386126,1054.0880400705532,302.61651896123243,0.427611957394,0.985366591751
110836066.123,1153.81368719,24874915.2707,2.9234528708,822.253700508,0.5263844130750263,1100.6096062996517,292.2552971515508,0.308701688078,0.899122275297
110836066.123,1153.81368719,24874915.2707,2.9234528708,822.253700508,0.8038615453921883,1074.171705211728,274.1736107435312,0.433008325952,0.98206958222
110836066.123,1153.81368719,24874915.2707,2.9234528708,822.253700508,0.6611877849038273,1131.5144047797112,288.9176983003439,0.424349073121,0.973748550614
110836066.123,1153.81368719,24874915.2707,2.9234528708,822.253700508,0.7200158274590098,1039.9088550119807,270.5252232714116,0.379330269838,0.953679565339
110836066.123,1153.81368719,24874915.2707,2.9234528708,822.253700508,0.9681136867298735,1094.9876492214921,267.083492526753,0.471215122832,0.994356768784
110836066.123,1153.81368719,24874915.2707,2.9234528708,822.253700508,0.6973846289853483,1070.7918054053564,315.2413655808387,0.386683981031,0.957755183405
110836066.123,1153.81368719,24874915.2707,2.9234528708,822.253700508,1.0451349284220586,1121.808308701959,284.0463557053515,0.4915112698,1.01207729024
50042837.8415,1207.50385371,24730045.9195,2.82632366298,848.848891346,0.7937282032470793,1182.754177174448,317.71378563383627,0.490882528931,1.01051733335
50042837.8415,1207.50385371,24730045.9195,2.82632366298,848.848891346,0.7561439044449259,1091.0463047507926,273.7249537531158,0.451879439321,0.994520681528
50042837.8415,1207.50385371,24730045.9195,2.82632366298,848.848891346,0.8606988493692413,1195.9635697256942,281.27863171147584,0.513738669225,1.03209118407
50042837.8415,1207.50385371,24730045.9195,2.82632366298,848.848891346,0.9515231346005689,1193.9737133341314,305.71072376695156,0.510046645862,1.02387050292
50042837.8415,1207.50385371,24730045.9195,2.82632366298,848.848891346,1.0197864628453712,1110.6591208084906,275.3359421490376,0.492295348309,1.00380646716
50042837.8415,1207.50385371,24730045.9195,2.82632366298,848.848891346,0.6325207102453578,1113.8907556803813,266.8719848242482,0.42971035724,0.972009026621
50042837.8415,1207.50385371,24730045.9195,2.82632366298,848.848891346,0.6076899693482091,1126.3541230890028,309.70632347790263,0.419981363711,0.971137369599
50042837.8415,1207.50385371,24730045.9195,2.82632366298,848.848891346,0.5296333887069821,1156.3105811935845,297.31822222777276,0.403194752783,0.961686592154
50042837.8415,1207.50385371,24730045.9195,2.82632366298,848.848891346,0.9349056604679771,1138.7571907119884,292.5533410974495,0.494366132785,1.00798884092
50042837.8415,1207.50385371,24730045.9195,2.82632366298,848.848891346,0.6989705843545931,1167.6201092779852,289.79209739523196,0.476117207811,0.994491292847
